Aircraft,Type,Use,Status (Qty),Dates From To,Research Centers,Current Location,Comments,
AeroVironment Centurion ,"Fixed Wing, UAV","Research, Environmental Research Aircraft and Sensor Technology (ERAST)",Retired (1),,"Ames Research Center,Dryden Flight Research Center",,Centurion was an evolutionary solar and fuel cellsystem powered unmanned aircraft.,
North American F-82 Twin Mustang ,Fixed Wing,"Research, Handling & Performance",Retired (1),Langley Research Center,,,,
McDonnell Douglas F/A-18 HARV ,Fixed Wing,"Research, High Alpha Research Vehicle",Retired,,Dryden Flight Research Center,Virginia Air and Space Center(840NA),,
Rockwell RPRV-870 HiMAT ,"Fixed Wing, UAV","Research, Highly Maneuverable Aircraft Technology",Retired (2),,"Ames Research Center,Dryden Flight Research Center",Smithsonian National Air and Space Museum,,
AeroVironment Gossamer Albatross ,Fixed Wing,"Research, Human Powered",Retired (1),,,,Smithsonian National Air and Space Museum,
MIT Daedalus ,Fixed Wing,"Research, Human Powered",Retired (1),1988,Dryden Flight Research Center,Museum_of_Science_(Boston),,
Eiri-Avion PIK-20 ,"Fixed Wing, Sailplane","Research, Lift & Aerodynamics",Retired (1),1981-1996,Dryden Research Center,,,
Northrop HL-10 ,Fixed Wing,"Research, Lifting body",Retired (1),,"Ames Research Center,Dryden Flight Research Center",Dryden Flight Research Center,,
Northrop M2-F2 ,Fixed Wing,"Research, Lifting body",Retired (1),,"Ames Research Center,Dryden Flight Research Center",,,
Northrop M2-F3 ,Fixed Wing,"Research, Lifting body",Retired (1),,"Ames Research Center,Dryden Flight Research Center",Smithsonian National Air and Space Museum,,
North American OV-10 Bronco ,Fixed Wing,"Research, Noise & Wave Turbulence",Retired,Langley Research Center,,,,
NASA AD-1 ,Fixed Wing,"Research, Oblique Wing",Retired (1),1979 - 1982,"Ames Research Center,Dryden Flight Research Center",Hiller Aviation Museum,Successfully demonstrated an aircraft wing that could be pivoted obliquely from zero to 60 degrees during flight.[26],
Ryan XV–5 Vertifan ,V/STOL,"Research, Rescue Research",Retired (1),,mes Research Center,,,
Northrop-Grumman F-5Emodified ,Fixed Wing,"Research, Shaped Sonic Boom Demonstration(SSBD)",Retired (1),,"Dryden Flight Research Center,Langley Research Center [13]",,"The Shaped Sonic Boom Demonstration was a two-year program that used an F-5E with a modified fuselage in order to demonstrate that the aircraft's shockwave, and accompanying sonic boom, can be shaped and thereby reduced.",
NASA Paresev ,"Fixed Wing, Paraglider","Research, Space Capsule Safety (1)",Retired (4),1961 - 1965,,Smithsonian National Air and Space Museum,"Was designed to study the ability of the Rogallo wing, also called Parawing, to descend a payload such as the Gemini space capsule safely from high altitude to ground.[22][23] Specifically, the Paresev was a test vehicle used to learn how to control this paraglider for a safe landing at a normal airfield.",
de Havilland Canada DHC-5 Buffalo(Bisontennial) named in 1976 ,Fixed Wing,"Research, STOL",Retired (1),1970s late - early 1980s,Ames Research Center,,"Fitted with a short-span Boeing wing incorporating split-flow turbofan engines based on the Rolls-Royce Spey (providing both propulsion and augmentor airflow for the powered lift system).[3][4][5][6] Beginning in 1972 with its first flight in this experimental configuration, this aircraft was used jointly by the NASA Ames Research Center and the Canadian Department of Industry, Trade and Commerce for STOL research.[5][7]",
de Havilland Canada DHC-5 Buffalo (QSRA) ,Fixed Wing,"Research, STOL, Quiet Short-Haul Research Aircraftprogram.[3][4][8]:153[9][10][11]",Retired (1),1970s late - early 1980s,"Ames Research Center,Dryden Flight Research Center",,"The experimental wing was designed, fabricated and installed by Boein was a swept, supercriticaldesign incorporating a boundary layer control system.[9][10]:8 Instead of the standard engines, this aircraft was powered by four prototype Avco Lycoming YF102 high-bypass turbofan engines (originally from the Northrop YA-9 program) mounted above the wing to take advantage of theCoand? effect.[10]:9–10 In 1980, this aircraft participated in carrier trials aboard USS Kitty Hawk, demonstrating STOL performance without the use of catapults or arrestor gear.[4][8]:154",
"Boeing 737,NASA 515 ",Fixed Wing,"Research, Terminal Area Productivity (TAP)",Retired (1),,Langley Research Center,,"NASA 515 is the first Boeing 737 ever built. After being used to qualify the 737 design, NASA heavily modified the aircraft for continuing research.",
"Boeing NB-52B, NASA NB-52B ",Fixed Wing,"Research, Test Platform",Retired (1),,"Ames Research Center,Dryden Flight Research Center",,"Used as a mothership for the X-15 program, 127Lifting body flight tests such as the HL-10 test flight, to support development in the Space Shuttle program, and several other miscellaneous test programs.[20] After almost 50 years flying service the Balls 8 was retired from active service with NASA on December 17, 2004, following its participation in the Hyper-X program.[21]",
Ling–Temco–Vought LTV XC–142 ,"V/STOL, Tilt Wing","Research, Transport aircraft",Retired (1),1966-1970,Langley Research Center,,,
General Dynamics F-16 VISTA ,Fixed Wing,"Research, Variability in flight simulator aircraft",Retired (1),,Langley Research Center,,,
Boeing CH-47B Chinook ,Rotorcraft,"Research, Variable Stability Research Rotorcraft project",Retired (2),,"Ames Research Center,Langley Research Center",,"It was equipped to fly by wire and had three on board computers. After research was completed, it was returned to the US Army and upgraded to the CH–47D standard.[24]",
Douglas X-3 Stiletto ,Fixed Wing,"Research, X-Planes",Retired (1),1952-1956,Dryden Research Center,National Museum of the United States Air Force,,
NASA X-43 ,"Fixed Wing, UAV","Research, X-Planes",Retired (3),,"Langley Research Center,Dryden Flight Research Center",,,
Bell X-1B,,"Research, X-Planes,",Retired,,Dryden Flight Research Center,National Museum of the United States Air Force,,
Bell X-1E,,"Research, X-Planes,",Retired,,Dryden Flight Research Center,Dryden Flight Research Center,,
Bell X-1A Glamorous Glennis ,,"Research, X-Planes,",Retired,1946,Dryden Flight Research Center,National Air and Space Museum,High-speed and high-altitude testing.First aircraft to break the sound barrier in level flight.Proved aerodynamic viability of thin wing sections.[29],
Northrop X-3 Stiletto ,,"Research, X-Planes,",Retired,1952,Dryden Flight Research Center,,"Titanium alloy construction; low aspect ratiowings.Planned to test long-duration high-speed flight.Incapable of reaching design speed, but provided insights into inertia coupling.[30]",
Northrop X-4 Bantam ,,"Research, X-Planes,",Retired,1948,Dryden Flight Research Center,Air Force Flight Test Center Museum#Air Force Flight Test Museum,Evaluated handling characteristics of tailless aircraft in the transonic speed region.[31],
Bell X-5 ,,"Research, X-Planes,",Retired,1951,Dryden Flight Research Center,National Museum of the United States Air Force,First aircraft to fly with variable geometry wings.[32],
Martin-Marietta X-24A ,,"Research, X-Planes,",Retired,,Dryden Flight Research Center,,Low-speed lifting body handling testbed.Lifting body aerodynamic shape trials.[34],
Martin-Marietta X-24B ,,"Research, X-Planes,",Retired,1973,Dryden Flight Research Center,National Museum of the United States Air Force,Low-speed lifting body handling testbed.Lifting body aerodynamic shape trials.[35],
Schweizer X-26 Frigate ,,"Research, X-Planes,",Retired,1967,Dryden Flight Research Center,National Soaring Museum (1-36),Training glider for yaw-roll couplingQuietobservation aircraft testbed.[36],
X-33 Venture Star ,,"Research, X-Planes,",Retired (1),Prototype never completed,Lockheed Martin,,Half-scale reusable launch vehicle prototype.[37],
Orbital Sciences X-34 ,Fixed Wing,"Research, X-Planes,",Retired,Never flew,,National Museum of the United States Air Force,Reusable unmanned space plane testbed.[38],
McDonnell Douglas X-36 ,,"Research, X-Planes,",Retired,1997,Dryden Flight Research Center,,28% scale tailless fighter testbed.[39],
Boeing X-37 ,,"Research, X-Planes,",Retired,"2006 (drop test), 2010 (orbital flight)",Dryden Flight Research Center,,Reusable orbital spaceplane.[40],
Scaled Composites X-38 ,,"Research, X-Planes,",Retired (2),1999,Dryden Flight Research Center,"Evergreen Aviation & Space Museum (V-131), Strategic Air and Space Museum(V-132)",Lifting body Crew Return Vehicle demonstrator.[41],
Boeing X-40 ,,"Research, X-Planes,",Retired,1998,Dryden Flight Research Center,,80% scale Space Maneuver Vehicle testbed.X-37 prototype.[42],
Micro Craft X-43 Hyper-X ,,"Research, X-Planes,",Retired,2001,Dryden Flight Research Center,,"Scramjet hypersonic testbed (Mach 9.68) (110,000 ft).[43]",
Lockheed Martin X-44 MANTA ,,"Research, X-Planes,",Retired,Cancelled,Dryden Flight Research Center,,F-22-based Multi-Axis No-Tail Aircraft thrust vectoring testbed.[44],
Boeing X-45A ,"Fixed Wing, UAV","Research, X-Planes,",Retired,,Dryden Flight Research Center,"National Air and Space Museum (#1 Blue), National Museum of the United States Air Force (#2 Red)",,
X-53 Boeing Phantom Works ,,"Research, X-Planes,",Retired,2002,Dryden Flight Research Center,,Active Aeroelastic Wing testbed.[45],
Gulfstream X-54,,"Research, X-Planes,",Proposed,,,Dryden Flight Research Center,,
Rockwell-MBB X-31 ,Fixed Wing,"Research, X-Planes, Enhanced Fighter Maneuverability (EFM)","Retired (1), Crashed (2)",,"Dryden Flight Research Center,European Aeronautic, Defense and Space Company",Oberschleißheim Museum (part of the Deutsches Museum),,
Boeing X-48 ,"Fixed Wing, UAV","Research, X-Planes,Environmentally Responsible Aviation Project [1]",Retired (1),,Dryden Flight Research Center,,"X-48 series was utilized to ""evaluate the low-speed stability and control of a low-noise version of a notional hybrid-wing-body design."" NASA is hoping that this particular aircraft will aid in the design ""green airlines."" Blended Wing Body (BWB) testbed.[2]",
Grumman X-29 ,Fixed Wing,"Research, X-Planes,Forward swept wing",Retired (2),1984-1991,Dryden Flight Research Center,National Museum of the United States Air Force,,
North American X-15 (Rocket plane) ,Fixed Wing,"Research, X-Planes, Hypersonic Flight",Retired (1),1959 - 1968,Dryden Flight Research Center,Smithsonian National Air & Space Museum,"Conceived by NACA, three were built and explored the regime of hypersonic flight, often regarded as a direct predecessor to the Space Shuttle",
Aerojet General X-8 ,Rocket,"Research, X-Planes, Upper air research and sounding[33]",Retired,,Dryden Flight Research Center,,,
Boeing 747-100SR ,Fixed Wing,Shuttle Carrier Aircraft,Retired (2),,Dryden Flight Research Center,Dryden Flight Research Center,Registered as N905NA (which is a 747-100 model that was acquired from American Airlines in 1974) and N911NA (a 747-100SR model purchased fromJapan Airlines in 1988),
Grumman Gulfstream II ,Fixed Wing,Shuttle Training Aircraft(STA),Active (4),,NA,"El Paso Forward Operating Location,Ellington Field, Houston, Texas[17] (NASA C-11A)",,
Douglas DC-3 ,Fixed Wing,Test,Retired,,Ames Research Center,,,
Northrop T-38 Talon ,Fixed Wing,Trainer,"Active, Retired",1960s - Today,,"El Paso Forward Operating Location, Ellington Field, Houston, Texas",Used as a jet trainer for its astronauts since the 1960s.,
Lockheed SR-71 ,Fixed Wing,Trainer,Retired (1),1991 - 1999,Dryden Flight Research Center,Pima Air Museum,"The plane was permanently retired in 1998, and the Air Force quickly disposed of their SR-71s, leaving NASA with the last two airworthy Blackbirds until 1999.[15] All other Blackbirds have been moved to museums except for the two SR-71s and a few D-21 drones retained by the NASA Dryden Research Center.[16]",
Lockheed SR-71A Blackbird,Fixed Wing,Trainer,Retired (1),1991 - 1999,Dryden Flight Research Center,Dryden Flight Research Center,"The plane was permanently retired in 1998, and the Air Force quickly disposed of their SR-71s, leaving NASA with the last two airworthy Blackbirds until 1999.[15] All other Blackbirds have been moved to museums except for the two SR-71s and a few D-21 drones retained by the NASA Dryden Research Center.[16]",
Lockheed SR-71B Blackbird,Fixed Wing,Trainer,Retired (1),1991 - 1999,Dryden Flight Research Center,Kalamazoo Aviation History Museum,"The plane was permanently retired in 1998, and the Air Force quickly disposed of their SR-71s, leaving NASA with the last two airworthy Blackbirds until 1999.[15] All other Blackbirds have been moved to museums except for the two SR-71s and a few D-21 drones retained by the NASA Dryden Research Center.[16]",
Douglas F5D-1 Skylancers ,Fixed Wing,"Trainer, Chase Plane",Retired (2),1961 - 1970,NA,"Neil Armstrong Air and Space Museum (802NA), Ontario Airport (708)","Used as a testbed for supersonic research and to train pilots for the X-20 Dyna-Soar program. The F5D-1 Skylancer had a wing planform similar to the proposed design for Dyna-Soar. After the Dyna-Soar program was canceled in December 1963, one F5D-1 stayed on at Dryden, eventually becoming a flight simulator for the M2-F2, and achase plane for experimental flights until 1970. In May 1970 one of the aircraft was retired and donated to the Neil Armstrong Air and Space Museum.[14]",
Boeing KC–135 Stratotanker ,Fixed Wing,"Trainer, Reduced gravity aircraft",Retired (2),1973 - 2004,"Ellington Field, Houston, Texas","Ellington Field, Houston, Texas",USAF KC–135As (designated N930NA and N931NA) Potential astronauts were exposed to simulated near–weightlessness. These aircraft are also known as Vomit Comets.,
North American AJ Savage ,Fixed Wing,"Trainer, Reduced gravity aircraft",Retired (3),1960 - TBD,,,,
McDonnell Douglas C-9 Skytrain II ,Fixed Wing,"Training, Reduced gravity aircraft",Active (1),2005 - TBD,Johnson Space Center,,Ex-USN C-9B,
Convair C-131 Samaritan(Convair CV-240) ,Fixed Wing,"Training, Reduced gravity aircraft, Landsat Earth Resources Survey program (ERS)",Retired (2),,"Langley Research Center,Ellington Field, Houston, TX",,"Project Mercury astronauts flew aboard a C-131 Samaritan flying as the ""vomit comet",
Beechcraft Super King Air (NASA 8) ,Fixed Wing,Transport Personnel,Active (1),,Wallops Flight Facility,Wallops Flight Facility,"Carries employees from Wallops Flight Facility, Virginia and Baltimore",
Sikorsky CH-54 Tarhe ,Rotorcraft,Utility,Retired (1),,Langley Research Center,,,
Sikorsky H-19 ,Rotorcraft,Utility,Retired (1),,Langley Research Center,,,
