#,Spacecraft,Spacewalkers,Start (UTC),End (UTC),Duration
,,"Performing the first EVA from Salyut 7, Lebedev anchored himself with a foot restraint, while Berezovoy assisted from the hatch. After collecting and placing samples on the exterior surface of the spacecraft, Lebedev tested methods for assembly and disassembly work in space, including the Istok panel experiment of turning bolts with a special wrench.[53]",,,
45,STS-6 - EVA 1,"  Story Musgrave
  Donald Peterson","April 7, 1983
21:05","April 8, 1983
01:15",4 h 10 min
,,Musgrave and Peterson conducted the first spacewalk from a Space Shuttle.[54] They spent their time testing their spacesuits and tools for future space construction.[55],,,
46,"Salyut 7
PE-2 - EVA 1","  Vladimir Lyakhov
  Aleksandr Pavlovich Aleksandrov","November 1, 1983
04:47","November 1, 1983
07:36",2 h 50 min
,,"Lyakhov and Aleksandrov added a new solar panel to Salyut 7, using techniques tested in an earlier EVA by Lebedev.[56]",,,
47,"Salyut 7
PE-2 - EVA 2","  Vladimir Lyakhov
  Aleksandr Aleksandrov","3 November 1983
03:47","3 November 1983
06:62",2 h 55 min
,,"Lyakhov and Aleksandrov added a second solar panel, raising the electrical output of Salyut 7 by 50%.[56]",,,
,,,,,
48,"STS-41-B
EVA 1","  Bruce McCandless II
  Robert Stewart",02/07/84,02/07/84,5 h 55 min
,,McCandless and Stewart rode on the Manned Maneuvering Unit (MMU) during the first untethered EVAs in history. Both astronauts practiced using tools and procedures for the planned capture and repair of the Solar Maximum Mission (SMM) satellite to be performed in a subsequent flight.[57],,,
49,"STS-41-B
EVA 2","  Bruce McCandless
  Robert Stewart",02/09/84,02/09/84,6 h 17 min
,,McCandless and Stewart continued testing the MMUs. They also continued practice with tools and procedures to be used with recovery and repair of the SMMsatellite.[57],,,
50,"STS-41-C
EVA 1","  George Nelson
  James van Hoften","April 8, 1984
14:18","April 8, 1984
16:56",2 h 38 min
,,"Nelson rode the MMU to the SMM satellite. Van Hoften stood by in the payload bay to provide any needed assistance. After three unsuccessful attempts to capture the SMM with the Trunnion Pin Acquisition Device (TPAD) tool and one attempt to grab the satellite by hand, the spacewalkers returned to Challenger. The SMM was recovered the next day with the RMS.[58]",,,
51,"STS-41-C
EVA 2","  George Nelson
  James van Hoften","11 April 1984
08:58","11 April 1984
15:42",6 h 44 min
,,Nelson and Van Hoften completed repair of the SMM satellite and then continued testing of the MMU.[59],,,
52,"Salyut 7
PE-3 - EVA 1","  Leonid Kizim
  Vladimir Solovyov","April 23, 1984
04:31","April 23, 1984
08:46",4 h 20 min
,,Kizim and Solovyov conducted the first of five EVAs to repair the ruptured main oxidizer line on Salyut 7. They installed a new ladder to reach the damaged line.[60],,,
53,"Salyut 7
PE-3 - EVA 2","  Leonid Kizim
  Vladimir Solovyov","April 26, 1984
02:40","April 26, 1984
07:40",4 h 56 min
,,"During the second of five EVAs to repair the ruptured oxidizer pipe, Kizim and Solovyov removed insulation and installed a valve in the spare line.[60]",,,
54,"Salyut 7
PE-3 - EVA 3","  Leonid Kizim
  Vladimir Solovyov","29 April 1984
01:35","29 April 1984
04:20",2 h 45 min
,,"For the third of five EVAs to repair the damaged oxidizer line, Kizim and Solovyov installed a bypass line around the damaged section.[60]",,,
55,"Salyut 7
PE-3 - EVA 4","  Leonid Kizim
  Vladimir Solovyov","May 3, 1984
23:15","May 4, 1984
02:00",2 h 45 min
,,Kizim and Solovyov completed the fourth of the five oxidizer line repair EVAs by installing a second bypass line and replacing the thermal insulation.[60],,,
56,"Salyut 7
PE-3 - EVA 5","  Leonid Kizim
  Vladimir Solovyov","May 18, 1984
17:52","May 18, 1984
20:57",3 h 05 min
,,"Overcoming a broken winch handle, Kizim and Solovyov added another set of two solar arrays to Salyut 7.[60]",,,
57,"Salyut 7
VE-4 - EVA 1","  Svetlana Savitskaya
  Vladimir Dzhanibekov","July 25, 1984
14:55","July 25, 1984
18:29",3 h 35 min
,,Savitskaya and Dzhanibekov tested the URI multi-purpose tool with several metal samples. Savitskaya became the first woman in history to perform an EVA.[60],,,
58,"Salyut 7
PE-3 - EVA 6","  Leonid Kizim
  Vladimir Solovyov","August 8, 1984
08:46","August 8, 1984
13:46",5 h 00 min
,,Kizim and Solovyov completed the last of five EVAs to repair the ruptured oxidizer line. They used a pneumatic press tool carried up by Soyuz T-12 to crimp the ends of the ruptured pipe.[61],,,
59,"STS-41-G
EVA 1","  David Leestma
  Kathryn D. Sullivan","October 11, 1984
15:38","October 11, 1984
19:05",3 h 29 min
,,"Sullivan and Leestma demonstrated the use of the Orbital Refueling System, including the installation of an ORS valve maintenance kit.[62] Sullivan was the first American woman and the second woman in history to conduct an EVA.[63]",,,
60,"STS-51-A
EVA 1","  Joseph P. Allen
  Dale Gardner","November 12, 1984
13:25","November 12, 1984
19:25",6 h 00 min
,,"Allen rode the MMU to the Palapa B-2 satellite, and retrieved it into the payload bay of Discovery. Gardner and Allen secured the satellite in the payload bay for return to Earth.[64]",,,
61,"STS-51-A
EVA 2","  Joseph Allen
  Dale Gardner","November 14, 1984
11:09","November 14, 1984
16:51",5 h 42 min
,,"In a procedure similar to the first EVA of STS-51-A, Gardner rode the MMU to the Westar VI satellite, and retrieved it into the payload bay. Allen and Gardner then secured the satellite in the payload bay for return to Earth.[64]",,,
62,"STS-51-D
EVA 1","  Jeffrey Hoffman
  S. David Griggs",04/16/85,04/16/85,3 h 06 min
,,"Griggs and Hoffman installed an improvised switch-pulling tool, called the ""flyswatter"", on Discovery's RMS robotic arm. The ""flyswatter"" was used in an effort to push the sequencer start lever on the Syncom IV-3 satellite in the proper position for deployment.[65] This attempted repair was the first unplanned spacewalk in NASA history.[66]",,,
63,"Salyut 7
PE-4 - EVA 1","  Vladimir Dzhanibekov
  Viktor Savinykh","August 2, 1985
07:15","August 2, 1985
12:15",5 h 00 min
,,"Dzhanibekov and Savinykh, radio call name Pamir, installed the third pair of solar arrays on the Salyut 7[67]",,,
64,"STS-51-I
EVA 1","  William Fisher
  James van Hoften",08/31/85,08/31/85,7 h 20 min
,,Van Hoften rode the RMS to capture the Syncom IV-3 satellite and pulled it into Discovery's payload bay. Fisher and Van Hoften then secured and started repairs on the satellite in the payload bay. The retrieval was complicated by a malfunction of the RMS that made hindered its operation.[68],,,
65,"STS-51-I
EVA 2","  William Fisher
  James van Hoften",09/01/85,09/01/85,4 h 26 min
,,"Fisher and Van Hoften completed repairs on the Syncom IV-3 satellite. Then Van Hoften, riding the RMS, heaved the satellite out of the payload bay, imparting the spin needed for the satellite to fire its perigee motor.[68]",,,
66,"STS-61-B
EVA 1","  Jerry L. Ross
  Sherwood Spring",11/29/85,11/29/85,5 h 32 min
,,Ross and Spring practiced construction techniques in the payload bay of Atlantis. They assembled and disassembled the two experimental EASE/ACCESSstructures.[69],,,
67,"STS-61-B
EVA 2","  Jerry L. Ross
  Sherwood Spring",12/01/85,12/01/85,6 h 41 min
,,"Ross and Spring conducted supplementary experiments on the EASE and ACCESS structures, including a test of the RMS to aid in the construction experiments.[69]",,,
,,,,,
68,"Salyut 7
PE-6 - EVA 1","  Leonid Kizim
  Vladimir Solovyov","28 May 1986
05:43","28 May 1986
09:33",3 h 50 min
,,"Kizim and Solovyov retrieved test panels from the outside of Salyut 7 and assembled a test ""girder-constructor"" apparatus in preparation for work on Mir.[70]",,,
69,"Salyut 7
PE-6 - EVA 2","  Leonid Kizim
  Vladimir Solovyov","May 31, 1986
04:57","May 31, 1986
09:57",5 h 00 min
,,"Kizim and Solovyov conducted additional tests on the experimental construction equipment, including the welding of several girder joints.[70]",,,
,,,,,
70,Mir PE-2 - EVA 1,"  Yuri Romanenko
  Aleksandr Laveykin","11 April 1987
19:41","11 April 1987
23:21",3 h 40 min
,,"Romanenko and Laveykin made an unplanned spacewalk to examine the Kvant docking port, because it had failed to make a hard dock with Mir. They were able to remove debris lodged in the docking mechanism, allowing for a complete dock.[71]",,,
71,Mir PE-2 - EVA 2,"  Yuri Romanenko
  Aleksandr Laveykin","June 12, 1987
16:55","June 12, 1987
18:48",1 h 53 min
,,Romanenko and Laveykin expanded the electrical capacity of the Mir space station. They installed the first half of the solar array brought to orbit in Kvant.[71],,,
72,Mir PE-2 - EVA 3,"  Yuri Romanenko
  Aleksandr Laveykin","June 16, 1987
15:30","June 16, 1987
18:45",3 h 15 min
,,Romanenko and Laveykin completed the expansion of electrical capacity on the Mir by installing the second half of the solar array carried to orbit in Kvant.[71],,,
,,,,,
73,Mir PE-3 - EVA 1,"  Vladimir G. Titov
  Musa Manarov","February 26, 1988
09:00","February 26, 1988
13:55",4 h 25 min
,,"Titov and Manarov replaced part of the array installed the previous year by Romanenko and Laveykin. They also found time to clear the portholes, which had become covered with dust.[72] p.",,,
74,Mir PE-3 - EVA 2,"  Vladimir G. Titov
  Musa Manarov","June 30, 1988
05:33","June 30, 1988
10:43",5 h 10 min
,,Titov and Manarov attempted to replace Kvant's X-ray telescope during a spacewalk that was not planned or rehearsed before launch. They trained by watching a videotape and talking to cosmonauts who had practiced the repair in a pool. The repair ended prematurely when a special wrench broke.[73],,,
75,Mir PE-3 - EVA 3,"  Vladimir G. Titov
  Musa Manarov","20 October 1988
05:59","20 October 1988
10:11",4 h 12 min
,,"Using new tools delivered to orbit on Progress 38, Titov and Manarov completed the replacement of Kvant's X-ray telescope.[74]",,,
76,Mir PE-4 - EVA 1,"  Alexander A. Volkov
  Jean-Loup Chrétien","9 December 1988
09:57","9 December 1988
15:57",6 h 00 min
,,"The first EVA by a French citizen commenced when Volkov and Chrétien ventured outside Mir to install hardware and experiments. The Soviet-French spacewalking team installed handrails, installed and wired the Enchantillons rack, and installed the ERA experimental package. At first, the ERA package failed to unfold when commanded from inside Mir. A swift kick from Volkov was needed for it to properly unfold.[75]",,,
77,Mir PE-5 - EVA 1,"  Alexander Viktorenko
  Aleksandr Serebrov","8 January 1990
20:23","8 January 1990
23:19",2 h 56 min
,,Viktorenko and Serebrov installed new star tracker sensors brought up in the Kvant-2 module onto Kvant.[76],,,
78,Mir PE-5 - EVA 2,"  Alexander Viktorenko
  Aleksandr Serebrov","January 11, 1990
18:01","January 11, 1990
20:55",2 h 54 min
,,"Viktorenko and Serebrov closed out experimental racks, either retrieving for return to Earth, or discarding into space. They also modified the docking node for the arrival of the Kristall module.[76]",,,
79,Mir PE-5 - EVA 3,"  Alexander Viktorenko
  Aleksandr Serebrov","January 26, 1990
12:09","January 26, 1990
15:11",3 h 02 min
,,"Viktorenko and Serebrov tested the new Orlan-DMA spacesuit. This spacewalk team was the first use of the EVA airlock hatch on the Kvant-2 module. During the spacewalk a mooring post was attached outside the airlock, and a Kurs antenna was removed to enable future EVAs.[76]",,,
80,Mir PE-5 - EVA 4,"  Alexander Viktorenko
  Aleksandr Serebrov","February 1, 1990
08:15","February 1, 1990
13:14",4 h 59 min
,,"Viktorenko and Serebrov tested the SPK ""flying armchair"", analogous to NASA's MMU. The SPK did not fly free, but remained tethered to Kvant-2 during the tests.[76]",,,
81,Mir PE-5 - EVA 5,"  Alexander Viktorenko
  Aleksandr Serebrov","February 5, 1990
06:08","February 5, 1990
09:53",3 h 45 min
,,Viktorenko and Serebrov conducted more tests of the SPK. Viktorenko reached as far as 45 metres (148 ft) from Mir.[76],,,
82,Mir PE-6 - EVA 1,"  Anatoly Solovyev
  Aleksandr Balandin","July 17, 1990
13:06","July 17, 1990
20:22",7 h 00 min
