astronautics and aeronautics :4258
flight center announced :109
european space research :109
around the world :109
was successfully launched :108
the national aeronautics :108
of the program :108
north american rockwell :108
ap w post :108
was part of :107
rocket launched by :107
republic of china :107
peaceful uses of :107
was designed to :106
force systems command :106
data from the :106
at edwards afb :106
there was no :105
of the sun :105
for space science :105
dr robert c :105
could be used :105
would be able :104
the us air :104
the launch of :104
that it had :104
of the spacecraft :104
neil a armstrong :104
be launched in :104
and development of :104
would be to :103
the spacecraft was :103
that the us :103
the need for :102
naval research laboratory :102
could not be :102
to be the :101
the ussr had :101
the dept of :101
km per hr :101
it had been :101
eastern test range :101
at the end :101
at nasa hq :101
air and space :101
surface of the :100
stability and control :100
north american aviation :100
at johnson space :100
and that the :100
the white house :99
the size of :99
the first of :99
tests of the :99
president of the :99
in the future :99
at the same :99
to develop a :98
the university of :98
on lunar surface :98
command and service :98
to obtain data :97
the us space :97
the same time :97
the possibility of :97
of the nasa :97
from white sands :97
flight of the :97
dept of defense :97
data on the :97
to determine the :96
s s s :96
it was the :96
in conjunction with :96
from plesetsk into :96
editorial commented on :96
atomic energy commission :96
appeared to be :96
• msfc announced :95
the national science :95
takeoff and landing :95
of the international :95
manned orbiting laboratory :95
in the past :95
in the atmosphere :95
aerobee 150 sounding :95
to the us :94
spacecraft would be :94
wall street journal :93
united aircraft corp :93
study of the :93
science and engineering :93
nasas office of :93
hugh l dryden :93
fbis tass in :93
european space agency :93
data were obtained :93
a variety of :93
who had been :92
the earths atmosphere :92
sr list • :92
portion of the :92
million in fy :92
launch vehicle and :92
rendezvous and docking :91
plesetsk into orbit :91
of the most :91
of the house :91
communications satellite corp :91
back to earth :91
american rockwell corp :91
would have been :90
world war ii :90
tyuratam total weight :90
to the space :90
to have been :90
of space shuttle :90
it is a :90
hughes aircraft co :90
have to be :90
be the first :90
space shuttle and :89
of the flight :89
obtain data on :89
nasa announced selection :89
mi from earth :89
members of the :89
landing on the :89
construction of facilities :89
charles conrad jr :89
150 sounding rocket :89
was scheduled to :88
on behalf of :88
in the new :88
anniversary of the :88
was said to :87
the ussr launched :87
the national space :87
the effects of :87
nasa reported that :87
announced plans to :87
the space age :86
such as the :86
of univ of :86
of the two :86
of lunar surface :86
objectives were to :86
in the pacific :86
from wallops island :86
from the earth :86
announced that it :86
would use the :85
would consist of :85
was held at :85
the us had :85
on the surface :85
nasa director of :85
in which the :85
in terms of :85
george m low :85
dr thomas 0 :85
would continue to :84
would be in :84
well as the :84
side of the :84
said to be :84
of the planet :84
of a series :84
james a lovell :84
in order to :84
had been a :84
exploration of space :84
dr hugh l :84
and space museum :84
western test range :83
was functioning normally :83
to participate in :83
nasa deputy associate :83
in the atlantic :83
from the space :83
wallops island va :82
the united nations :82
the atlantic ocean :82
that of the :82
more than a :82
in science and :82
develop space flight :82
by the us :82
to carry out :81
the solar wind :81
the ny times :81
the exploration of :81
sounding rockets from :81
objective develop space :81
memorandum of understanding :81
had been used :81
for the us :81
at cape canaveral :81
and space administration :81
vehicle payload data :80
the space shuttles :80
the launch vehicle :80
the first flight :80
orbital parameters apogee :80
of the universe :80
of the mission :80
much of the :80
lunar and planetary :80
into earth orbit :80
energy research and :80
earths magnetic field :80
data would be :80
churchill research range :80
version of the :79
used in the :79
us geological survey :79
to use the :79
the national academy :79
that would be :79
space technology reported :79
of the saturn :79
lunar landing mission :79
can not be :79
be launched by :79
at marshall space :79
a lovell jr :79
saturn v launch :78
otoole w post :78
orbiting solar observatory :78
of the total :78
nasa test pilot :78
mcdonnell douglas corp :78
manager of the :78
it will be :78
at cape kennedy :78
as many as :78
a member of :78
vice president of :77
the history of :77
man on the :77
in the united :77
for at least :77
edwin e aldrin :77
designation vehicle payload :77
would be available :76
work on the :76
was to be :76
the senate committee :76
the presence of :76
the apollosoyuz test :76
that had been :76
space flight techniques :76
of apollo 11 :76
in the next :76
in response to :76
he said the :76
had to be :76
dr wernher von :76
director of nasa :76
uses of outer :75
the peoples republic :75
the moon in :75
office of manned :75
of space technology :75
of space flight :75
of california at :75
launched unidentified satellite :75
launched by ussr :75
in the soviet :75
in lunar orbit :75
for the next :75
wernher von braun :74
the moons surface :74
test of the :74
returned to earth :74
in cooperation with :74
changes in the :74
astronautics subcommittee on :74
and the soviet :74
and astronautics subcommittee :74
was presented to :73
usaf launched unidentified :73
the amount of :73
telephone and telegraph :73
space shuttle program :73
paine nasa administrator :73
noted that the :73
launched from wallops :73
in washington post :73
e aldrin jr :73
dr george e :73
chief of the :73
be launched from :73
applications technology satellite :73
and had been :73
air force and :73
the apollo spacecraft :72
that the soviet :72
payload data apogee :72
john w young :72
head of the :72
had been in :72
george e mueller :72
flight techniques and :72
assistant to the :72
alan b shepard :72
• president johnson :71
vehicle launch site :71
there would be :71
there is a :71
the indian ocean :71
srl • nasa :71
special assistant to :71
many of the :71
it had awarded :71
in the washington :71
in the field :71
in an interview :71
had shown that :71
from churchill research :71
apollo telescope mount :71
apollo 11 astronauts :71
announced by nasa :71
vandenberg air force :70
the satellite was :70
see air force :70
satellite launched by :70
purpose of the :70
min and inclination :70
international telecommunications satellite :70
indicated that the :70
in outer space :70
dr george m :70
david r scott :70
would serve as :69
the success of :69
system would be :69
studies of the :69
said that it :69
said it was :69
of space exploration :69
nasa lewis research :69
in the upper :69
from the us :69
experiment to study :69
earth resources technology :69
chief of staff :69
assistant secretary of :69
american institute of :69
• new york :68
• nasa and :68
thomas p stafford :68
the advancement of :68
program would be :68
page blank not :68
operation of the :68
of the year :68
of nasa and :68
launched into orbit :68
he said that :68
each of the :68
douglas aircraft co :68
and the us :68
and the first :68
and in the :68
a2 baykonur tyuratam :68
was held in :67
turned over to :67
to provide a :67
to measure the :67
the effect of :67
space systems div :67
space shuttle mission :67
satellite would be :67
phase of the :67
office of science :67
had been selected :67
cooperation in space :67
between nasa and :67
at univ of :67
aeron space act :67
would be conducted :66
space flight and :66
satellite communications system :66
results of the :66
of the orbiter :66
of new york :66
launched from nasa :66
in the early :66
in synchronous orbit :66
early bird i :66
designed and built :66
blank not filmed :66
away from the :66
wide range of :65
unidentified satellite from :65
they would be :65
the speed of :65
the space environment :65
the saturn v :65
the federal aviation :65
space and missile :65
solidfuel rocket boosters :65
per cent of :65
of the senate :65
nasa from wsmr :65
million for the :65
johns hopkins univ :65
had been scheduled :65
communications satellite system :65
air traffic control :65
• marshall space :64
would also be :64
us and soviet :64
the soviet academy :64
the field of :64
the basis of :64
smithsonian astrophysical observatory :64
secretary of transportation :64
said in a :64
of the nations :64
of space and :64
nasa announced the :64
massachusetts institute of :64
in los angeles :64
had failed to :64
had been developed :64
from wsmr carried :64
carried univ of :64
we can not :63
was managed by :63
was based on :63
upi w post :63
to check out :63
the spacecraft would :63
the nature of :63
the launch pad :63
the communications satellite :63
stage of the :63
space transportation system :63
resources technology satellite :63
preceding page blank :63
of up to :63
of the satellite :63
nasa langley research :63
mission scheduled for :63
it is not :63
heating and cooling :63
had been the :63
had been named :63
had agreed to :63
distinguished service medal :63
completion of the :63
• secretary of :62
york times said :62
were functioning normally :62
was reported by :62
the us navy :62
the system would :62
the jet propulsion :62
that we have :62
participate in the :62
over the pacific :62
of the univ :62
of the atmosphere :62
lunar roving vehicle :62
launch of the :62
edwards air force :62
believed to be :62
b shepard jr :62
and space council :62
american aviation inc :62
a man on :62
• nasa had :61
walter m schirra :61
to the earth :61
to make the :61
to have a :61
the study of :61
the moon by :61
spacecraft had been :61
pictures of the :61
nasa announced appointment :61
mi from the :61
library of congress :61
information on the :61
had been completed :61
from the moon :61
equipment was functioning :61
edwards afb calif :61
attitude control system :61
at the time :61
and the other :61
addition to the :61
according to the :61
york times editorial :60
to an altitude :60
there will be :60
the national oceanic :60
the moon is :60
the launch site :60
space research and :60
research center and :60
orbiting astronomical observatory :60
of the worlds :60
of the launch :60
nasa launched two :60
manned space station :60
launch date name :60
it was not :60
had served as :60
grumman aerospace corp :60
for science and :60
first time in :60
during the flight :60
corps of engineers :60
because of a :60
and univ of :60
and technical information :60
and service module :60
a space shuttle :60
• nasa administrator :59
would manage the :59
to be in :59
space science board :59
soviet union had :59
over the next :59
on the first :59
of the system :59
national space program :59
nasa said that :59
missiles and space :59
million mi from :59
it could be :59
in space for :59
in space exploration :59
from cape kennedy :59
cause of the :59
annual meeting of :59
and use of :59
with the us :58
was to obtain :58
transfer orbit with :58
to test the :58
to meet the :58
the us would :58
that the united :58
of the ussr :58
objective communications description :58
ny times reported :58
national center for :58
missile and space :58
l gordon cooper :58
instruments performed satisfactorily :58
in the same :58
in the program :58
had not yet :58
eugene a cernan :58
by the house :58
baykonur tyuratam total :58
and the united :58
a history of :58
value of the :57
v launch vehicle :57
two of the :57
the time of :57
the peaceful uses :57
the first us :57
the first manned :57
the federal government :57
successfully launched from :57
successful completion of :57
saturn v booster :57
rockwell international corp :57
research center announced :57
parts of the :57
national research council :57
model of the :57
missiles and rockets :57
michoud assembly facility :57
lunar surface and :57
into an orbit :57
in diameter and :57
electronics research center :57
all of the :57
advisory committee for :57
univ of michigan :56
understanding of the :56
this is a :56
the us in :56
the spacecraft and :56
the ability to :56
sponsored by the :56
space shuttle in :56
space program and :56
responsible for the :56
reported in the :56
photographs of the :56
off nasa release :56
of research and :56
of house committee :56
national air and :56
nasa announced award :56
launched from wsmr :56
john h glenn :56
in the apollo :56
in the 1980s :56
in orbit and :56
housing and urban :56
history of the :56
federal communications commission :56
design and development :56
deep space network :56
by vote of :56
by nasa test :56
been able to :56
aviation week reported :56
and the national :56
and could be :56
• usaf announced :55
would begin in :55
vehicle piloted by :55
tv programs to :55
to that of :55
the washington star :55
the pacific ocean :55
the atmosphere and :55
the american people :55
that nasa had :55
space technology laboratories :55
space flight centers :55
scientific and technological :55
on the lunar :55
on a delta :55
of space research :55
o z c :55
niketomahawk sounding rocket :55
knowledge of the :55
into synchronous orbit :55
he would be :55
deputy administrator dr :55
cambridge research laboratories :55
at white sands :55
at goddard space :55
at end of :55
apogee kick motor :55
announced that its :55
• nasa reported :54
vice president and :54
to the president :54
to establish a :54
the direction of :54
the age of :54
space program is :54
space center announced :54
research center was :54
peak altitude of :54
on the basis :54
of the scientific :54
objective of the :54
new york city :54
national advisory committee :54
nasa rpts srl :54
measurements of the :54
launched from etr :54
it was a :54
in the universe :54
in aviation week :54
george p miller :54
director of space :54
and development administration :54
an orbit with :54
a group of :54
would have a :53
week and space :53
vandenberg afb calif :53
to determine whether :53
the united kingdom :53
the cause of :53
one of two :53
of advanced research :53
nasa aerobee 150 :53
martin marietta corp :53
manned and unmanned :53
launched by the :53
had been found :53
for use on :53
for the advancement :53
for advanced research :53
by nasa to :53
because of its :53
aviation week and :53
as far as :53
announced that a :53
and construction of :53
an air force :53
administrator dr robert :53
x15 no 3 :52
would be completed :52
where it would :52
was to have :52
under contract to :52
to the sun :52
the rocket and :52
the results of :52
the rest of :52
the beginning of :52
the award of :52
satellite from vandenberg :52
said it would :52
robert s mcnamara :52
program to develop :52
program had been :52
pratt whitney div :52
over the atlantic :52
of the federal :52
of the aircraft :52
no earlier than :52
lyndon b johnson :52
institute of aeronautics :52
in the solar :52
in the last :52
in the development :52
in the area :52
in charge of :52
committee for aeronautics :52
christian science monitor :52
by univ of :52
between the two :52
be used by :52
army corps of :52
and program management :52
• ussr launched :51
would use a :51
were to be :51
we do not :51
was launched into :51
wallops station carried :51
to the equator :51
this would be :51
the milky way :51
the feasibility of :51
support of the :51
space program was :51
secretary of state :51
research and program :51
prime contractor for :51
of the planets :51
of the office :51
of scientific and :51
nasa administrator dr :51
in upper atmosphere :51
in accordance with :51
going to be :51
firing of the :51
during the past :51
contract would be :51
committee on the :51
by the ussr :51
by means of :51
as long as :51
around the earth :51
and instruments performed :51
and built by :51
would remain in :50
was in the :50
wallops flight center :50
us and the :50
univ of colorado :50
to proceed with :50
to more than :50
to be made :50
the satellite would :50
the rate of :50
the mission was :50
that the space :50
space station and :50
space shuttle main :50
size of the :50
satellite to be :50
reported in science :50
of the moons :50
of soviet academy :50
million less than :50
men on the :50
had been designed :50
gemini and apollo :50
dryden flight research :50
development of new :50
clinton p anderson :50
atlantic missile range :50
appointment of dr :50
apogee st mi :50
and operation of :50
would be carried :49
with the space :49
weight unavailable objective :49
was adjudged successful :49
use of a :49
to fly on :49
thomas o paine :49
the scientific community :49
the program would :49
space shuttle flight :49
scientific and engineering :49
satellite situation report :49
said that a :49
robert r gilruth :49
robert h goddard :49
pan american world :49
orbiting laboratory mol :49
of mars and :49
ocean of storms :49
nasa ames research :49
might have been :49
it has been :49
had awarded a :49
good data were :49
edward h white :49
during the first :49
dr robert r :49
dr charles a :49
comsatcorp release • :49
assistant director for :49
and director of :49
american world airways :49
altitude to measure :49
advancement of science :49
which could be :48
to investigate the :48
to develop the :48
to build a :48
the spacecraft had :48
the most important :48
the existence of :48
the benefit of :48
test range at :48
speed of sound :48
site payload data :48
shuttle main engine :48
scheduled to begin :48
reported to be :48
orbit around the :48
on the peaceful :48
of the three :48
of the future :48
liftingbody vehicle piloted :48
launch site payload :48
launch of a :48
it had selected :48
inclination and reentered :48
in the air :48
in space was :48
had been turned :48
h glenn jr :48
for the second :48
flight center and :48
dr thomas o :48
contract to general :48
construction of the :48
close to the :48
bureau of standards :48
at a time :48
and technology and :48
and space co :48
and on the :48
a distance of :48
would provide a :47
virgil i grissom :47
view of the :47
use in the :47
upi w star :47
to develop and :47
to begin in :47
thoragena d total :47
the orbit of :47
the manned space :47
the first to :47
system for the :47
station would be :47
short takeoff and :47
serve as a :47
satellite entered orbit :47
said in an :47
rocket from white :47
result of the :47
reported that a :47
report to the :47
president lyndon b :47
of the project :47
nasa assistant administrator :47
nasa and dod :47
more than 100 :47
mission would be :47
mission had been :47
lunar excursion module :47
launch complex 39 :47
it is the :47
is not a :47
in manned space :47
in favor of :47
headed by dr :47
had been awarded :47
gsfc experiment to :47
from the spacecraft :47
from edwards afb :47
experiments would be :47
contributions to the :47
by nasa in :47
billion in fy :47
attached to the :47
at manned spacecraft :47
astronaut frank borman :47
areas of the :47
and more than :47
air force had :47
advanced research projects :47
a team of :47
would participate in :46
would like to :46
would be flown :46
will be a :46
we have a :46
we are going :46
washington post said :46
was sworn in :46
to support the :46
to make a :46
those of the :46
the spacecraft to :46
the saturn ib :46
the role of :46
the problem of :46
the importance of :46
the flight was :46
the energy research :46
that it is :46
that he had :46
success of the :46
rep george p :46
one or more :46
on the shuttle :46
on space shuttle :46
office of advanced :46
off • nasa :46
of life on :46
maximum speed of :46
man in space :46
low earth orbit :46
lockheed missiles and :46
into polar orbit :46
international cooperation in :46
instrumented payload to :46
in orbit still :46
in development of :46
gsfc payload to :46
from eastern test :46
from earth and :46
for up to :46
for the apollo :46
for negotiation of :46
engineering development center :46
donald k slayton :46
charles a berry :46
california institute of :46
by the national :46
august astronautics and :46
at an altitude :46
at a cost :46
arnold engineering development :46
are going to :46
announced the award :46
and returned to :46
administrator for advanced :46
aboard the space :46
1980 astronautics and :46
when it was :45
was described by :45
vandenberg afb by :45
thoragena d booster :45
the purpose of :45
the impact of :45
that the ussr :45
supersonic transport aircraft :45
space shuttle flights :45
space center nasa :45
september astronautics and :45
saturn ib launch :45
reported it had :45
orbit still transmitting :45
of defense robert :45
nikecajun sounding rocket :45
nikeapache sounding rockets :45
nasa nikeapache sounding :45
june astronautics and :45
john f kennedy :45
it would take :45
in the nasa :45
in the earths :45
homer e newell :45
had been conducted :45
for the united :45
for the shuttle :45
for atmospheric research :45
experiment to measure :45
earths atmosphere and :45
dr homer e :45
contribution to the :45
construction of a :45
communications description spheroid :45
by the soviet :45
by secretary of :45
be used as :45
be managed by :45
based on the :45
at edwards air :45
altitude and mach :45
a speed of :45
a part of :45
• nasa awarded :44
• dod announced :44
vice president for :44
to serve as :44
to ensure that :44
to design and :44
this is the :44
there were no :44
the value of :44
the first two :44
the contract would :44
the center of :44
that we are :44
system had been :44
space center and :44
similar to those :44
satisfactorily nasa rpt :44
research projects agency :44
primary objective was :44
plans called for :44
out that the :44
other government agencies :44
office of management :44
of saturn v :44
nasa x15 proj :44
more than the :44
more than one :44
may astronautics and :44
life on earth :44
less than the :44
it was reported :44
in space research :44
here on earth :44
gsfc proj off :44
for use by :44
for study of :44
flight was to :44
first flight of :44
february astronautics and :44
effects of weightlessness :44
edward c welsh :44
dr edward c :44
description unavailable cosmos :44
could have been :44
characteristics of the :44
by the air :44
by president johnson :44
be sent to :44
approach and landing :44
and manned space :44
and dept of :44
aircraft would be :44
will not be :43
was the second :43
wallops station va :43
vehicle assembly building :43
to return to :43
to provide the :43
to nasa in :43
to launch a :43
there was a :43
there had been :43
the shuttle orbiter :43
the science and :43
the international telecommunications :43
the flight of :43
subcommittee on space :43
solar heating and :43
sen clinton p :43
proj off nasa :43
post reported that :43
our space program :43
orbiting space station :43
of the gemini :43
of the european :43
of such a :43
of facilities and :43
nasa authorization bill :43
in the ussr :43
in the national :43
in science by :43
in addition the :43
had indicated that :43
for the national :43
first of a :43
director of flight :43
be made in :43
apollo 15 astronauts :43
apollo 11 lunar :43
and to the :43
and the ussr :43
altitude to obtain :43
a contract for :43
• the air :42
• house committee :42
z c h :42
work would be :42
used by the :42
use of space :42
to the national :42
to be completed :42
the space telescope :42
the performance of :42
the kind of :42
the design of :42
that the soviets :42
that the first :42
technology satellite launched :42
tass reported that :42
sworn in as :42
successfully launched by :42
space and the :42
space agency esa :42
scout launch vehicle :42
saturn ib and :42
said in washington :42
responsibility for the :42
research center in :42
portions of the :42
period and 740° :42
p miller dcalif :42
one of its :42
on the other :42
on the earth :42
of the test :42
national bureau of :42
nasa successfully launched :42
nasa planned to :42
msfc announced it :42
m schirra jr :42
january astronautics and :42
in space to :42
in space the :42
he pointed out :42
ft in diameter :42
federal republic of :42
exceptional service medal :42
defense robert s :42
communications satellite corporation :42
at the national :42
astronauts neil a :42
and saturn v :42
and 740° inclination :42
alan l bean :42
air defense command :42
aeronautical and astronautical :42
administrator of nasa :42
a wide range :42
a memorandum of :42
would be required :41
with the soviet :41
william h pickering :41
william h dana :41
was reported to :41
thought to be :41
the worlds first :41
the question of :41
the future of :41
the earths surface :41
the aerospace industry :41
the ability of :41
that we can :41
that there is :41
systems were functioning :41
sponsored by nasa :41
spacecraft center announced :41
space nuclear propulsion :41
soviet union launched :41
said to have :41
primary objective of :41
photos of the :41
perigee st mi :41
orbiting geophysical observatory :41
orbital data apogee :41
on space science :41
on manned space :41
of scientists and :41
of lunar samples :41
of defense and :41
of a space :41
nasa flight research :41
more than 200 :41
million contract to :41
miles per hour :41
mcdonnell douglas astronautics :41
m in diameter :41
launched with single :41
launched from cape :41
joined nasa in :41
it possible to :41
investigations description spheroid :41
in the exploration :41
from the ground :41
for the benefit :41
for scientific research :41
for design and :41
failure of the :41
establishment of a :41
entered lunar orbit :41
dr william h :41
dept of commerce :41
center for atmospheric :41
center announced award :41
by the space :41
between us and :41
at the launch :41
announced it was :41
and service modules :41
and missile systems :41
american astronautical society :41
air force space :41
a2e plesetsk total :41
a study of :41
• us and :40
• msfc reported :40
x15 no 1 :40
would be installed :40
would attempt to :40
will be able :40
we are not :40
was reported in :40
us weather bureau :40
under the direction :40
turned on and :40
to land on :40
to keep the :40
to be carried :40
throughout the world :40
the two countries :40
the state of :40
the new system :40
the moon was :40
the mission would :40
the capability of :40
space shuttle launch :40
space flight program :40
soviet space program :40
showed that the :40
sen william proxmire :40
satellite was launched :40
region of the :40
over the past :40
on moon and :40
of us space :40
of united aircraft :40
of earths atmosphere :40
observations of the :40
objectives of the :40
more than 20 :40
mission was to :40
manned space program :40
james b irwin :40
is that the :40
instead of the :40
in the office :40
in a new :40
had been appointed :40
had already been :40
from b52 aircraft :40
for peaceful purposes :40
first use of :40
etr s s :40
environmental protection agency :40
dr robert h :40
douglas astronautics co :40
day and night :40
committee on appropriations :40
commander of the :40
center of the :40
california at berkeley :40
by president nixon :40
be required to :40
be in the :40
be compared with :40
atlasagena d total :40
at nasa manned :40
astronauts james a :40
as soon as :40
announced that dr :40
and of the :40
and control data :40
all systems were :40
a period of :40
a cost of :40
would be tested :39
would be about :39
will continue to :39
was planned for :39
was believed to :39
was being used :39
united states has :39
total value of :39
to the senate :39
to ground stations :39
to demonstrate the :39
to collect data :39
the soviets had :39
the satellite to :39
the satellite reentered :39
the report said :39
the quality of :39
the orbiter and :39
the gemini program :39
space exploration and :39
solar panels and :39
so that the :39
sent to the :39
satellites would be :39
said it had :39
research center had :39
research and engineering :39
plans for a :39
performed satisfactorily nasa :39
of the joint :39
not yet been :39
is going to :39
investigation of the :39
international designation vehicle :39
in orbit for :39
house of representatives :39
had led to :39
had developed a :39
for space studies :39
for space flight :39
first stage of :39
experiments had been :39
events of 1961 :39
commented on the :39
carried gsfc payload :39
by more than :39
at least a :39
astronautical events of :39
aspects of the :39
april astronautics and :39
and it is :39
and astronautical events :39
a transfer orbit :39
a space station :39
a matter of :39
a lot of :39
a great deal :39
2 astronautics and :39
1 and 2 :39
000 contract to :39
• nasa selected :38
would report to :38
would be on :38
were part of :38
weight 700 kg :38
we will be :38
was to measure :38
was estimated at :38
us dept of :38
univ of new :38
total weight 700 :38
to the soviet :38
to the nasa :38
thordelta launch vehicle :38
the vicinity of :38
the us to :38
the satellite situation :38
the next few :38
than any other :38
telecommunications satellite organization :38
successful by nasa :38
structure of the :38
series of three :38
series of tests :38
scheduled for the :38
richard f gordon :38
piloted by nasa :38
period and 654° :38
on space research :38
office of the :38
of the surface :38
of the entire :38
of north american :38
of housing and :38
nature of the :38
nasa from wallops :38
nasa announced plans :38
more than 50 :38
more than 10 :38
mission control center :38
m low nasa :38
launched from the :38
july astronautics and :38
james a mcdivitt :38
its first flight :38
had signed a :38
had been postponed :38
gulf of mexico :38
from vandenberg air :38
for space research :38
flight center had :38
fact that the :38
edgar d mitchell :38
earth resources survey :38
direction of the :38
december astronautics and :38
conducted by nasa :38
centre national detudes :38
called for a :38
