marshall space flight center :368
launched from nasa wallops :56
for research and development :56
as well as the :56
and aeronautical events of :56
aeronautics 1 9 6 :56
the apollosoyuz test project :55
nasa proj o f :55
the peaceful uses of :54
the national science foundation :54
at the same time :54
army corps of engineers :54
aeronautics 19 6 4 :54
week space technology reported :53
the soviet academy of :53
science and astronauticsâ€™ subcommittee :53
new york times editorial :53
as part of the :53
and astronauticsâ€™ subcommittee on :53
150 sounding rocket launched :53
on the space shuttle :52
liftingbody vehicle piloted by :52
a member of the :52
∞marshall space flight center :51
rocket from white sands :51
n a s a :51
as a result of :51
landing on the moon :50
in the new york :50
for space science and :50
∞ nasa administrator james :49
the united states and :49
the space shuttle orbiter :49
sounding rocket from white :49
of house committee on :49
john h glenn jr :49
in the upper atmosphere :49
from vandenberg afb by :49
dr charles a berry :49
air and space museum :49
aeronautics and space technology :49
to an altitude of :48
the european space research :48
satellite from vandenberg afb :48
satellite entered orbit with :48
at manned spacecraft center :48
announced the award of :48
would be launched in :47
office of science and :47
of the house committee :47
nasa ames research center :47
launched unidentified satellite from :47
to be used in :46
of defense robert s :46
of a series of :46
∞ ussr launched cosmos :45
∞ new york times :45
nasa assistant administrator for :45
missiles and space co :45
earth resources technology satellite :45
aviation week and space :45
aeronautics and space administration :45
unidentified satellite from vandenberg :44
transportation john a volpe :44
on the peaceful uses :44
of transportation john a :44
for science and technology :44
for construction of facilities :44
would be launched from :43
week and space technology :43
was said to be :43
walter m schirra jr :43
secretary of transportation john :43
secretary of defense robert :43
rpt srl ∞ nasa :43
rep george p miller :43
piloted by nasa test :43
on the lunar surface :43
lockheed missiles and space :43
kennedy space center nasa :43
equipment was functioning normally :43
∞ nasa announced it :42
to the moon and :42
space flight center and :42
peopleâ€™s republic of china :42
one of the most :42
on the surface of :42
of the office of :42
nasa announced appointment of :42
fbis tass in english :42
at goddard space flight :42
announced award of a :42
1 9 6 2 :42
would be managed by :41
this was the first :41
the award of a :41
satellite launched by nasa :41
proj o f f :41
nasa aerobee 150 sounding :41
in the office of :41
from wallops island va :41
from eastern test range :41
by goddard space flight :41
before house committee on :41
∞nasa announced it had :40
the department of defense :40
rocket launched from wsmr :40
of the national aeronautics :40
new york times said :40
lockheed missiles space co :40
george p miller dcalif :40
the air force systems :39
sen clinton p anderson :39
saturn ib and saturn :39
of soviet academy of :39
nasa proj off nasa :39
nasa flight research center :39
nasa deputy administrator dr :39
in science and technology :39
ib and saturn v :39
from vandenberg afb calif :39
for advanced research and :39
by ussr into orbit :39
∞ nasa announced selection :38
was sworn in as :38
the national oceanic and :38
the cost of the :38
stability and control data :38
space and missile systems :38
short takeoff and landing :38
saturn ib launch vehicle :38
pan american world airways :38
of the space age :38
nasa nikeapache sounding rocket :38
nasa announced it would :38
nasa announced award of :38
in the field of :38
george m low nasa :38
defense robert s mcnamara :38
command and service module :38
astronautics and aeronautics 1963 :38
∞ house committee on :37
would be the first :37
was successfully launched by :37
ussr into orbit with :37
scientific and technical information :37
rocket was launched from :37
rocket launched from nasa :37
research and development administration :37
proj off nasa release :37
of the soviet academy :37
men on the moon :37
launched by ussr into :37
institute of aeronautics and :37
dr robert r gilruth :37
at white sands missile :37
would have to be :36
to be launched by :36
space flight center had :36
solar heating and cooling :36
research and program management :36
of advanced research and :36
of 1 9 6 :36
nasa office of manned :36
manned orbiting laboratory mol :36
m low nasa deputy :36
george e mueller nasa :36
from b52 aircraft at :36
events of 1 9 :36
astronauts neil a armstrong :36
as part of a :36
aeronautics and space council :36
∞ nasa announced award :35
the washington post reported :35
the exploration of space :35
surface of the moon :35
special assistant to the :35
program was managed by :35
president lyndon b johnson :35
of united aircraft corp :35
of the moon and :35
of space science and :35
national air and space :35
inclination to the equator :35
e mueller nasa associate :35
committee on the peaceful :35
by the air force :35
and instruments performed satisfactorily :35
american institute of aeronautics :35
under the direction of :34
to be launched in :34
the energy research and :34
that the united states :34
rocket and instruments performed :34
primary objective was to :34
on the basis of :34
of housing and urban :34
of aeronautics and space :34
o f f ∞ :34
nasa office of space :34
manned spacecraft center announced :34
low nasa deputy administrator :34
in addition to the :34
general electric co and :34
exploration of the moon :34
charles m duke jr :34
center announced award of :34
by nasa from wallops :34
associate administrator for advanced :34
ap n y t :34
and the soviet union :34
was successfully launched from :33
the us and the :33
the jet propulsion laboratory :33
the first time in :33
on the moon in :33
of nasa office of :33
obtain stability and control :33
in the space program :33
for the advancement of :33
dr edward c welsh :33
construction of facilities and :33
clinton p anderson dn :33
carried gsfc payload to :33
by nasa and the :33
aeronautical events of 1 :33
aerobee 170 sounding rocket :33
administrator dr robert c :33
would be compared with :32
will be able to :32
to be used for :32
the federal aviation administration :32
of the u s :32
mcdonnell douglas astronautics co :32
manned space flight program :32
in the united states :32
in the form of :32
at the age of :32
at nasa marshall space :32
at nasa manned spacecraft :32
astronaut john h glenn :32
administrator for advanced research :32
a wide range of :32
1 9 6 3 :32
∞ nasa announced that :31
∞ nasa announced appointment :31
vandenberg air force base :31
the us space program :31
space flight center to :31
richard f gordon jr :31
on science and technology :31
of senate committee on :31
national bureau of standards :31
mueller nasa associate administrator :31
million mi from earth :31
housing and urban development :31
good data were obtained :31
for use in the :31
for the benefit of :31
entered orbit with a :31
dryden flight research center :31
dr william h pickering :31
div of united aircraft :31
california institute of technology :31
by nasa from churchill :31
baykonur into orbit with :31
at lewis research center :31
at langley research center :31
at ames research center :31
astronaut walter m schirra :31
arnold engineering development center :31
aeron space act 1966 :31
times editorial commented on :30
the success of the :30
the space shuttle and :30
the rocket and instrumentation :30
that the soviet union :30
space research organization esro :30
office of aeronautics and :30
of the saturn v :30
national advisory committee for :30
nasa from wallops station :30
managed by gsfc under :30
had not yet been :30
from flight research center :30
designed and built by :30
churchill research range carried :30
before senate committee on :30
at the univ of :30
and was expected to :30
administrator dr thomas 0 :30
adjudged successful by nasa :30
3 astronautics and aeronautics :30
we are going to :29
vehicle piloted by nasa :29
the ussr launched cosmos :29
the size of the :29
the national space program :29
the library of congress :29
on space science and :29
on manned space flight :29
office of advanced research :29
of the national academy :29
of the earth and :29
launched from churchill research :29
in the history of :29
in manned space flight :29
had been scheduled for :29
from baykonur into orbit :29
for the united states :29
dr robert h goddard :29
astronautics and aeronautics 1964 :29
astronaut neil a armstrong :29
announced it had selected :29
advisory committee for aeronautics :29
∞ usaf launched unidentified :28
∞ nikeapache sounding rocket :28
∞ nasa aerobee 150 :28
was managed by gsfc :28
the united states has :28
the rest of the :28
the development of a :28
systems were functioning normally :28
public registry the satellite :28
per cent of the :28
of the soviet union :28
of california at berkeley :28
national center for atmospheric :28
massachusetts institute of technology :28
launched two unidentified satellites :28
launched from wsmr carried :28
james e webb said :28
in the development of :28
in the area of :28
had been turned on :28
fred w haise jr :28
dr homer e newell :28
annual meeting of the :28
and missile systems organization :28
academy of sciences and :28
1 astronautics and aeronautics :28
york times editorial commented :27
was believed to be :27
upi n y t :27
the soviet union had :27
the fact that the :27
the european space agency :27
the end of this :27
the development of the :27
the air force and :27
the advancement of science :27
space shuttle main engine :27
space probes and manned :27
space nuclear propulsion office :27
pilot william h dana :27
on the moon by :27
of the library of :27
nasa rpts srl ∞ :27
million for construction of :27
launched by nasa for :27
in the exploration of :27
in new york city :27
hugh l dryden nasa :27
grumman aircraft engineering corp :27
dept of housing and :27
center for atmospheric research :27
at edwards afb calif :27
at an altitude of :27
announced by secretary of :27
and general electric co :27
and edwin e aldrin :27
a lovell jr and :27
150 mi sounding rocket :27
∞ senate committee on :26
was adjudged successful by :26
wall street journal reported :26
to obtain stability and :26
the speed of sound :26
the space shuttle program :26
the office of space :26
the moon and the :26
test pilot william h :26
space flight center for :26
satellite to be launched :26
probes and manned space :26
of goddard space flight :26
new york times article :26
meeting in new york :26
had been director of :26
had been developed by :26
at a cost of :26
apollo 8 astronaut frank :26
and good data were :26
air force cambridge research :26
aerobee 150 mi sounding :26
academy of sciences had :26
was said to have :25
was one of the :25
to general electric co :25
the satellite situation report :25
the launch vehicle and :25
the dept of defense :25
space act of 1958 :25
sands missile range n :25
perigee 898min period and :25
on peaceful uses of :25
nasa from wsmr carried :25
mi from the earth :25
manned space flight dr :25
launched from wallops station :25
l dryden nasa deputy :25
in the u s :25
from western test range :25
from vandenberg afb with :25
first of a series :25
dryden nasa deputy administrator :25
christopher c kraft jr :25
by nasa goddard space :25
at the launch site :25
announced appointment of dr :25
a part of the :25
8 astronaut frank borman :25
1 9 6 4 :25
∞ secretary of defense :24
∞ nasa launched two :24
would be used by :24
would be launched by :24
vehicle piloted by maj :24
usaf launched two unidentified :24
the purpose of the :24
the american institute of :24
space flight center was :24
science and engineering inc :24
sands missile range carrying :24
registry the satellite situation :24
on the other hand :24
of tracking and data :24
of the senate committee :24
nasa wallops station carried :24
nasa test pilot william :24
nasa test pilot john :24
missile range n mex :24
meeting of the american :24
manned space flight network :24
launched from wallops island :24
launched from vandenberg afb :24
in washington dc that :24
in the solar system :24
house com mittee on :24
for tracking and data :24
for research and program :24
flight from edwards afb :24
deputy director of the :24
before the end of :24
approach and landing tests :24
and manned space flights :24
and control data at :24
and charles conrad jr :24
american science and engineering :24
after airlaunch from b52 :24
was launched by the :23
to kennedy space center :23
the u s and :23
the peopleâ€™s republic of :23
the earth and the :23
the direction of the :23
test pilot john a :23
space flight dr george :23
soviet news agency tass :23
see nasa office of :23
school of aerospace medicine :23
research and development in :23
proj off ∞ nasa :23
period and 654â€ inclination :23
olin e teague dtex :23
of univ of california :23
of north american aviation :23
of defense research and :23
nikeapache sounding rocket was :23
nasa announced plans to :23
nasa and soviet academy :23
missile and space systems :23
million for research and :23
mi sounding rocket launched :23
launched by ussr from :23
in washington evening star :23
in the washington post :23
in the atlantic ocean :23
in support of the :23
from wallops station va :23
from point barrow alaska :23
from kennedy space center :23
flight dr george e :23
director of life sciences :23
deputy chief of staff :23
deputy assistant administrator for :23
chairman of house committee :23
been turned on and :23
astronauts l gordon cooper :23
astronaut alan b shepard :23
and space act of :23
and soviet academy of :23
aeron space act 1965 :23
advanced research projects agency :23
administrator dr hugh l :23
∞ dr thomas 0 :22
would be sent to :22
white sands n mex :22
were expected to be :22
was the first time :22
un committee on the :22
to collect data on :22
time at the launch :22
the un public registry :22
the science and technology :22
the nature of the :22
the floor of the :22
subcommittee on manned space :22
space biology and medicine :22
sounding rockets were launched :22
sen william proxmire dwis :22
referenced to local time :22
purpose of flight was :22
office of tracking and :22
of the apollo program :22
of defense melvin r :22
neil a armstrong and :22
nasa from wsmr carrying :22
mi from earth and :22
manned space flight and :22
local time at the :22
launched from cape canaveral :22
launched an unidentified satellite :22
john l swigert jr :22
jodrell bank experimental station :22
it was reported that :22
into an orbit with :22
in nasa office of :22
in an interview with :22
high energy astronomy observatory :22
had been selected to :22
from new york to :22
force systems command announced :22
first in series of :22
edward h white 11 :22
dr kurt h debus :22
dr john e naugle :22
dr glenn t seaborg :22
design and development of :22
design and construction of :22
deputy administrator dr hugh :22
defense melvin r laird :22
could be used to :22
could be used for :22
chairman of senate committee :22
carried gsfc experiment to :22
booster from vandenberg afb :22
as well as in :22
as deputy associate administrator :22
arms control and disarmament :22
airlaunch from b52 aircraft :22
aeronautics and space act :22
14 astronautics and aeronautics :22
∞ secretary of transportation :21
x24a liftingbody vehicle piloted :21
would be placed in :21
was announced by secretary :21
u s a f :21
to nasa administrator james :21
to local time at :21
to land men on :21
to design and build :21
the wall street journal :21
the surface of mars :21
the sun and the :21
the space program is :21
the soviet union and :21
the manned space flight :21
the center of the :21
subcommittee on space science :21
sponsored by nasa and :21
side of the moon :21
see national academy of :21
seamans jr secretary of :21
science and tech nology :21
saturn v launch vehicles :21
reached an altitude of :21
period and 740â€ inclination :21
perigee 896min period and :21
over the indian ocean :21
on the part of :21
of the european space :21
of marshall space flight :21
niketomahawk sounding rocket launched :21
nasa from churchill research :21
launch complex 39 pad :21
jr secretary of the :21
in the us and :21
in a letter to :21
had been scheduled to :21
gen bernard a schriever :21
dr rocco a petrone :21
dr raymond l bisplinghoff :21
dr harrison h schmitt :21
division of the library :21
director of the office :21
director of defense research :21
contract would be managed :21
contract to general electric :21
conference report on hr :21
committee on space research :21
command and service modules :21
center announced the award :21
booster into orbit with :21
be used in the :21
at the time of :21
astronauts david r scott :21
as well as a :21
as director of the :21
are from the un :21
and saturn v launch :21
all systems were functioning :21
administrator for industry affairs :21
a manned lunar landing :21
13 astronautics and aeronautics :21
12 astronautics and aeronautics :21
∞ president nixon announced :20
∞ lockheed aircraft corp :20
would be launched into :20
workshop launched may 14 :20
with the soviet union :20
was scheduled for launch :20
was reported to be :20
was launched into orbit :20
was held at nasa :20
usaf launched thoragena d :20
the washington evening star :20
the us and ussr :20
sounding rocket from wallops :20
science and technology division :20
resources technology satellite launched :20
reported in the new :20
rep olin e teague :20
rendezvous and docking mission :20
program was directed by :20
period and 740 inclination :20
office of management and :20
of the sun and :20
of the national space :20
of scientists and engineers :20
of launch is referenced :20
nuclear test ban treaty :20
nuclear engine for rocket :20
november astronautics and aeronautics :20
national academy of engineering :20
msfc announced award of :20
mittee on science and :20
launched by the ussr :20
launch is referenced to :20
launch from b52 aircraft :20
land a man on :20
in the soviet union :20
had joined nasa in :20
from vandenberg air force :20
from the un public :20
for negotiations leading to :20
flight to the moon :20
february astronautics and aeronautics :20
dr lee a dubridge :20
dr h guyford stever :20
director dr wernher von :20
defense research and engineering :20
date of launch is :20
chairman of the senate :20
c seamans jr secretary :20
by dr james c :20
by ames research center :20
award was presented to :20
astronaut james a lovell :20
assistant secretary of the :20
assistant administrator for technology :20
apollosoyuz test project mission :20
announced the appointment of :20
announced plans to launch :20
announced it would negotiate :20
and space systems div :20
and chief executive officer :20
aeronautical events of 1962 :20
aerobee 150a sounding rocket :20
administrator for technology utilization :20
a wide variety of :20
∞nasa announced selection of :19
∞ msfc announced award :19
∞ manned spacecraft center :19
would be required to :19
would be made in :19
would be installed in :19
was announced by dr :19
vice president spiro t :19
vertical takeoff and landing :19
united states and the :19
under overall direction of :19
two unidentified satellites from :19
to provide data on :19
to peak altitude of :19
to participate in the :19
to general dynamics corp :19
to be launched from :19
the time of the :19
the space shuttle in :19
the national advisory committee :19
the nasa office of :19
the manned orbiting laboratory :19
the eastern test range :19
the atomic energy commission :19
the air force dr :19
technology division of the :19
takeoff and landing aircraft :19
secretary of the navy :19
secretary of defense melvin :19
rocket and instru ments :19
reported in science by :19
pressure density and wind :19
president of soviet academy :19
pilot john a manke :19
orbital workshop launched may :19
of the upper atmosphere :19
of the saturn ib :19
of nasa manned spacecraft :19
of medical research and :19
of flight was to :19
objective was to place :19
national medal of science :19
msfc announced it had :19
meeting in washington dc :19
make it possible to :19
lockheed aircraft corp and :19
launched two sounding rockets :19
launched from white sands :19
john a volpe announced :19
it would be used :19
is referenced to local :19
is one of the :19
in the soviet press :19
homer e newell nasa :19
health education and welfare :19
had been assigned to :19
going to the moon :19
go to the moon :19
general electric co for :19
executive secretary of the :19
end of the year :19
earth resources experiment package :19
dr joseph p kerwin :19
committee on atomic energy :19
com mittee on science :19
chairman of the board :19
center announced it had :19
by secretary of transportation :19
by gsfc under ossa :19
brought total value of :19
before the house committee :19
be used as a :19
astronauts charles conrad jr :19
astronautics and aeronautics 15 :19
astronaut l gordon cooper :19
associate ad ministrator for :19
april astronautics and aeronautics :19
apollo 11 astronauts neil :19
and technology division of :19
and aeronautics 19 63 :19
4 astronautics and aeronautics :19
170 sounding rocket from :19
000ft altitude and mach :19
∞ nasa launched aerobee :18
∞ aerobee 150 sounding :18
would reimburse nasa for :18
would be succeeded by :18
would be equipped with :18
was part of a :18
un public registry the :18
to the air force :18
to be functioning normally :18
there would be no :18
the western test range :18
the value of the :18
the top of the :18
the space shuttle would :18
the naval research laboratory :18
the benefit of all :18
that it would be :18
srl ∞ nasa announced :18
spacecraft would be launched :18
senate committee on appropriations :18
see national aeronautics and :18
science and technology in :18
science and technology and :18
scheduled to begin in :18
said in an interview :18
rocket launched from wallops :18
rocket launched from churchill :18
radio corp of america :18
pointed out that the :18
on behalf of the :18
office of naval research :18
of the science and :18
of national academy of :18
of management and budget :18
objective was to obtain :18
national radio astronomy observatory :18
nasa launched series of :18
nasa electronics research center :18
mission scheduled for launch :18
mi downrange in the :18
manned lunar landing mission :18
lunar excursion module lem :18
launched two cosmos satellites :18
landed on the moon :18
land men on the :18
june astronautics and aeronautics :18
john f kennedy space :18
international association of machinists :18
in the apollo program :18
in series of four :18
held at nasa hq :18
had been used to :18
had been caused by :18
from white sands n :18
from wallops station carried :18
frank w anderson jr :18
for use in space :18
for organization and management :18
flight center announced the :18
f kennedy space center :18
edwards air force base :18
e aldrin jr and :18
dr donald f hornig :18
downrange in the atlantic :18
director of the national :18
director of flight operations :18
deputy administrator dr robert :18
chief of staff for :18
chairman of the house :18
by the date marks :18
by hughes aircraft co :18
at a distance of :18
astronauts james a lovell :18
astronauts eugene a cernan :18
astronautics a n d :18
asterisk by the date :18
as deputy director of :18
apollo telescope mount atm :18
apollo 11 astronaut neil :18
and return to earth :18
and lockheed aircraft corp :18
and eugene a cernan :18
and aeronautics 1972 july :18
and aeronautics 1970 april :18
and aeronautics 1969 july :18
administrator najeeb e halaby :18
administrator for organization and :18
a n d aeronautics :18
a goddard space flight :18
8 astronautics and aeronautics :18
17 astronautics and aeronautics :18
11 astronauts neil a :18
11 astronaut neil a :18
1 earth resources technology :18
∞ sen clinton p :17
would be used as :17
would be made available :17
would be delivered to :17
would be completed by :17
would be available for :17
whitney div of united :17
which would be used :17
was expected to reach :17
van allen radiation belts :17
v keldysh president of :17
ussr successfully launched cosmos :17
usaf school of aerospace :17
usaf launched an unidentified :17
us and the ussr :17
to house committee on :17
to gather data on :17
the united states had :17
the marshall star reported :17
the house of representatives :17
the global atmospheric research :17
the beginning of the :17
than in listings which :17
temperature pressure density and :17
statements in the soviet :17
stage of the saturn :17
soft landing on the :17
scientists and engineers in :17
satellite scheduled for launch :17
sands missile range nm :17
samuel c phillips usaf :17
sale by supt of :17
reported in new york :17
prime contractor for the :17
pres rpt 70 69 :17
pratt whitney div of :17
perigee 892min period and :17
orbit around the earth :17
one of the two :17
on the floor of :17
on moon by apollo :17
of the department of :17
of the apollosoyuz test :17
of health education and :17
of general electric co :17
of california at san :17
nasaâ€™s office of space :17
nasa office of advanced :17
nasa distinguished service medal :17
msfc director dr wernher :17
missiles and rockets reported :17
merritt island launch area :17
manned space flight said :17
maj william j knight :17
launch vehicle and the :17
l o liftingbody vehicle :17
it would be a :17
it had awarded a :17
international business machines corp :17
independent offices and hud :17
in cooperation with the :17
held in washington dc :17
he had served as :17
had been responsible for :17
green bank w va :17
gibson and william r :17
for the development of :17
for sale by supt :17
flown by nasa test :17
flight at edwards afb :17
eastern test range at :17
e newell nasa associate :17
director william c schneider :17
director of medical research :17
deputy administrator of nasa :17
d booster from wtr :17
contract to north american :17
col john h glenn :17
center announced selection of :17
can not afford to :17
by the house committee :17
by marshall space flight :17
between the us and :17
between nasa and the :17
august astronautics and aeronautics :17
atlasagena d booster from :17
at nasa goddard space :17
at flight research center :17
astronauts virgil i grissom :17
astronautics and aeronautics 196 :17
astronaut m scott carpenter :17
astronaut edwin e aldrin :17
associate administrator for organization :17
as chairman of the :17
apollo command and service :17
and tracking and data :17
and aeronautics 1968 october :17
and aeronautical events o :17
an unidentified satellite from :17
american association for the :17
aeronautical events o f :17
a memorandum of understanding :17
a large number of :17
6 astronautics and aeronautics :17
24 astronautics and aeronautics :17
∞nasa announced it would :16
∞msfc announced it had :16
∞ nikecajun sounding rocket :16
∞ nasa nikeapache sounding :16
x15 no 3 flown :16
would be made by :16
would be available to :16
william j knight usaf :16
were reported to be :16
was not expected to :16
u s and ussr :16
to the development of :16
to marshall space flight :16
to be able to :16
thomas k mattingly i1 :16
the united states is :16
the space shuttle main :16
the smithsonian astrophysical observatory :16
the office of the :16
the national center for :16
the moon in the :16
the federal communications commission :16
the end of a :16
the edge of the :16
the communications satellite corporation :16
the christian science monitor :16
the air force for :16
test range on a :16
space flight center under :16
science research and development :16
saturn v 2nd stage :16
said in a speech :16
rocket from wallops station :16
program director william c :16
president spiro t agnew :16
president nixon submitted to :16
perigee 897min period and :16
p miller dcalif chairman :16
on the moonâ€™s surface :16
on the ground and :16
on its way to :16
of the us space :16
of the quiet sun :16
nikecajun sounding rocket launched :16
newell nasa associate administrator :16
national institutes of health :16
nasnrc space science board :16
nasa wallops station to :16
nasa administrator dr thomas :16
missile systems organization samso :16
miller dcalif chairman of :16
medical research and operations :16
may astronautics and aeronautics :16
lunar and planetary laboratory :16
lifting body piloted by :16
leonard c bruno of :16
launched from point barrow :16
kennedy space center for :16
joint chiefs of staff :16
johnson space center announced :16
james a van allen :16
it was the first :16
into earth orbit with :16
instruments functioned satisfactorily and :16
in view of the :16
had been made by :16
had been designed to :16
gsfc under ossa direction :16
frank e moss dutah :16
force cambridge research laboratories :16
for the air force :16
for aeronautics and space :16
flight research center and :16
flight from flight research :16
fabrication and testing of :16
european launcher development organization :16
dr james a van :16
dr harold c urey :16
dr gary v latham :16
director of manned space :16
director dr robert r :16
deputy secretary of defense :16
december astronautics and aeronautics :16
corp for negotiation of :16
contract to general dynamics :16
c welsh executive secretary :16
c bruno of the :16
by the soviet union :16
by secretary of defense :16
by leonard c bruno :16
by dr thomas 0 :16
be one of the :16
be made available to :16
be launched by nasa :16
be compared with data :16
at nasa langley research :16
at jet propulsion laboratory :16
as special assistant to :16
announced it had signed :16
and space technology reported :16
and returned to earth :16
and general manager of :16
and aeronautics 1973 may :16
and aeronautics 1972 april :16
air launch from b52 :16
aero nautics and space :16
administrator for public affairs :16
a t cape canaveral :16
a new york times :16
19 astronautics and aeronautics :16
∞ washington post editorial :15
∞ president nixon submitted :15
∞ national science foundation :15
∞ nasa goddard space :15
∞ aerobee 150 mi :15
would be part of :15
would be capable of :15
wernher von braun director :15
we can not afford :15
was first in series :15
vandenberg afb by titan :15
ussr launched two cosmos :15
usaf flew x15 no :15
us and ussr had :15
univ of new york :15
unidentified satellite from wtr :15
to the univ of :15
to that of the :15
to operate in space :15
to north american rockwell :15
to fly on the :15
to be the most :15
to be one of :15
times the speed of :15
the soviet space program :15
the skylab orbital workshop :15
the need for a :15
the first time a :15
the exploration of the :15
the cause of the :15
the bottom of the :15
the atlantic missile range :15
the apollo telescope mount :15
the air force announced :15
that the ussr had :15
test pilot thomas c :15
takeoff and landing stol :15
surface of the earth :15
successfully launched by nasa :15
states and the soviet :15
space for peaceful purposes :15
space flight center payload :15
skylab program director william :15
sir bernard lovell director :15
secondary objective was to :15
science and astro nautics :15
ronald e evans and :15
rockets were launched from :15
rockets and instruments functioned :15
research and develop ment :15
range carried univ of :15
president of the national :15
pres rpt 68 ∞ :15
peoples republic of china :15
over the atlantic ocean :15
on science research and :15
of the national science :15
of the board of :15
of scientific and technical :15
of research and development :15
of lewis research center :15
not meet minimum scientific :15
niketomahawk sounding rocket from :15
nasa exceptional service medal :15
nasa and dept of :15
more than half the :15
mission did not meet :15
mex chairman of senate :15
mars 2 and 3 :15
managed by goddard space :15
los alamos scientific laboratory :15
lewis research center was :15
lewis research center had :15
launched aerobee 170 sounding :15
langley research center and :15
international telecommunications satellite organization :15
international cooperation in space :15
instru ments functioned satisfactorily :15
institute of electrical and :15
institute for space studies :15
initial orbital data apogee :15
in washington dc to :15
in the vicinity of :15
in the space shuttle :15
in series of five :15
in nasaâ€™s office of :15
in conjunction with the :15
in an article in :15
icbm from vandenberg afb :15
had been made in :15
goddard institute for space :15
global atmospheric research program :15
from the sun and :15
from the launch site :15
force chief of staff :15
for con struction of :15
flight center payload to :15
erts 1 earth resources :15
engine for rocket vehicle :15
effects of weightlessness on :15
edward c welsh executive :15
dr james r schlesinger :15
director of space medicine :15
director of nasa manned :15
did not meet minimum :15
development and production of :15
data would be compared :15
could be used in :15
could be used as :15
control and disarmament agency :15
complex 39 pad a :15
compared with data from :15
committee on peaceful uses :15
committee on armed services :15
churchill re search range :15
chairman and chief executive :15
cents per share for :15
california at san diego :15
by the european space :15
by supt of documents :15
by nasa administrator james :15
by lewis research center :15
bernard lovell director of :15
b52 aircraft at 45000ft :15
at univ of california :15
astronauts john w young :15
astronauts alan b shepard :15
astronaut charles conrad jr :15
associate adminis trator for :15
assistant secretary of defense :15
assistant administrator for industry :15
appendix a satellites space :15
apollo soyuz test project :15
announced the selection of :15
and william r pogue :15
and the united states :15
and james b irwin :15
and instru ments functioned :15
and development of the :15
and aeronautics 1972 october :15
and aeronautics 1972 may :15
