total weight :2627
aeronautics 1977 :194
ny times :192
soviet academy :191
science foundation :190
a2 plesetsk :189
apollosoyuz test :188
payload data :186
entered orbit :186
dr thomas :183
upi wash :182
space systems :182
pm est :182
nasa reported :182
aircraft co :181
aeronautics 1975 :181
dr john :180
st mi :177
nasa manned :175
james c :175
systems div :174
cl plesetsk :173
test pilot :172
space description :172
6000 kg :172
weight 6000 :171
data acquisition :171
assistant administrator :171
technology satellite :170
research laboratory :170
lunar orbiter :170
sands missile :169
apollo 17 :169
pm edt :168
jsc release :168
jet aircraft :168
launch date :167
dr william :167
comsatcorp release :167
announced selection :167
apollo 13 :166
apollo 14 :165
aeronautical events :165
series payload :164
nikeapache sounding :164
mi perigee :164
ground station :163
functioned satisfactorily :163
nasa office :162
flight test :161
sullivan nyt :158
solar energy :158
space transportation :156
deep space :156
space agency :155
aerobee 150 :155
naval research :154
million mi :153
rocket engine :152
orbital parameters :152
unidentified satellite :151
tass reported :151
instruments functioned :151
dr charles :151
aeronautics 1985 :150
lunar samples :149
instrumentation performed :149
federal aviation :149
apollo 16 :149
mariner iv :148
c fletcher :148
aeronautics 1974 :148
titan ii :147
st louis :147
nasa officials :147
advisory committee :147
administrator dr :147
space environment :146
solidfuel rocket :146
scientific research :146
manned flight :146
space programs :145
soviet scientists :145
nasa wallops :145
cosmic rays :145
command module :143
von braun :142
robert c :141
indian ocean :141
ap balt :141
hughes aircraft :140
wallops island :139
msc release :139
flight tests :139
tracking station :138
tass announced :138
international cooperation :138
aerospace corp :138
wallops release :137
president kennedy :137
lockheed aircraft :137
atlantic ocean :136
thoragena d :135
technology utilization :135
nasa goddard :135
project apollo :133
martin marietta :133
lunar module :133
scientific data :132
mi period :132
ksc release :132
larc release :131
control center :131
basic research :131
am edt :131
successfully completed :130
san diego :130
faa release :130
ap b :130
van allen :129
transport aircraft :129
scientific experiments :129
research organization :129
apollo lunar :129
afb calif :129
designation vehicle :128
service module :127
launch pad :127
attitude control :127
lt col :126
external tank :126
2nd stage :126
unavailable total :125
systems command :125
fy 1973 :125
sr list :124
radio signals :124
news conference :124
lunar exploration :124
announced appointment :124
air traffic :124
west german :123
manned orbiting :123
six months :122
mission control :122
aerospace industry :122
service medal :121
atmospheric administration :121
satellite corp :120
launch complex :120
june 30 :120
weight 40 :119
project manager :119
hugh l :119
force systems :119
announced plans :119
afsc release :119
peoples republic :118
obtain data :118
nasa marshall :118
fy 1971 :118
data apogee :118
c seamans :118
budget request :118
space vehicle :117
space act :117
remote sensing :117
landing site :117
upper stage :116
research aircraft :116
polar orbit :116
peaceful uses :116
000 km :116
ballistic missile :115
aviation administration :115
afsc newsreview :115
research council :114
orbiting laboratory :114
annual meeting :114
40 kg :114
moons surface :113
liquid hydrogen :113
launch operations :113
fletcher nasa :113
evening star :113
director dr :113
d total :113
apogee motor :113
wilford nyt :112
week space :112
weather satellite :112
washington evening :112
test facility :112
space effort :112
seamans jr :112
prime contractor :112
million km :112
cal tech :112
american aviation :112
support services :111
space age :111
manned orbital :111
fy 1972 :111
carbon dioxide :111
scientific instruments :110
flight operations :110
dynamics corp :110
spacecraft launched :109
space stations :109
mph mach :109
hines wash :109
test flight :108
fy 1969 :108
energy research :108
dr edward :108
american rockwell :108
am est :108
space telescope :107
space activities :107
solar radiation :107
pratt whitney :107
magnetic fields :107
john h :106
daily news :106
baykonur tyuratam :105
xray sources :104
project mercury :104
la times :104
federal government :104
elliptical orbit :104
earths magnetic :104
n mex :103
arc release :103
space shuttles :102
shuttle mission :102
nuclear rocket :102
min inclination :102
government agencies :102
editorial commented :102
william h :101
space missions :101
pacific ocean :101
orbital flight :101
eastern test :101
c trib :101
wall street :100
vehicle payload :100
research laboratories :100
houston post :100
gemini spacecraft :100
energy commission :100
primary objective :99
fy 1970 :99
atlasagena d :99
worlds largest :98
traffic control :98
smithsonian institution :98
nasa anno :98
fbis tass :98
clark nyt :98
future space :97
charles conrad :97
nasa test :96
nasa authorization :96
douglas aircraft :96
conrad jr :96
cargo bay :96
atmospheric research :96
100 million :96
shuttle flight :95
nasa fy :95
nasa director :95
geological survey :95
develop space :95
150 sounding :95
technical information :94
street journal :94
sonic boom :94
rockwell corp :94
o z :94
international telecommunications :94
d booster :94
circular orbit :94
special assistant :93
nasas office :93
l dryden :93
john f :93
frank borman :93
civil aviation :93
authorization bill :93
thomas 0 :92
spaceport news :92
news agency :92
george m :92
dr hugh :92
space vehicles :91
solar observatory :91
simons wash :91
main engine :91
lifting body :91
landing mission :91
johns hopkins :91
geosynchronous orbit :91
extravehicular activity :91
usaf announced :90
tyuratam total :90
solar activity :90
pres rpt :90
nasa centers :90
nasa activities :90
earths surface :90
description spheroid :90
boeing 747 :90
western union :89
technology reported :89
spacecraft systems :89
rocket engines :89
research institute :89
interplanetary space :89
civil service :89
center nasa :89
astrophysical observatory :89
western test :88
v launch :88
rocket boosters :88
peak altitude :88
parameters apogee :88
manned flights :88
main engines :88
fy 1974 :88
fy 1968 :88
finney nyt :88
applications technology :88
space museum :87
scientist dr :87
reuters nyt :87
nasa mor :87
m low :87
daily reported :87
000ft altitude :87
usaf ret :86
thomas p :86
telecommunications satellite :86
space administration :86
rocket motor :86
research range :86
military space :86
task force :85
soviet cosmonauts :85
rockwell international :85
km perigee :85
international airport :85
star reported :84
space co :84
radio communications :84
propulsion systems :84
parking orbit :84
mission specialists :84
island va :84
distinguished service :84
orbiting solar :83
nikecajun sounding :83
nasa headquarters :83
million contract :83
launched unidentified :83
jan 27 :83
edwin e :83
astronomy observatory :83
assistant secretary :83
appropriations bill :83
wernher von :82
tv programs :82
space operations :82
san francisco :82
planetary exploration :82
paine nasa :82
launched april :82
instrumented payload :82
fighter aircraft :82
earth stations :82
tracking stations :81
scientific community :81
private industry :81
orbital workshop :81
mission objectives :81
lockheed missiles :81
george e :81
douglas corp :81
assistant director :81
aeronautical research :81
15 million :81
vehicle launch :80
space probes :80
lovell jr :80
flight techniques :80
churchill research :80
carried gsfc :80
aldrin jr :80
alan b :80
weather bureau :79
space div :79
shuttle launch :79
robert h :79
puerto rico :79
nasa contract :79
july 23 :79
billion yrs :79
solar flares :78
solar array :78
satellites launched :78
pioneer 11 :78
flight crew :78
date name :78
apollo applications :78
jodrell bank :77
e aldrin :77
dr wernher :77
dr fletcher :77
charged particles :77
armed services :77
times editorial :76
shuttle flights :76
science board :76
radiation belts :76
objective communications :76
july 20 :76
former nasa :76
esa release :76
cloud cover :76
launched nov :75
fy 1975 :75
earth station :75
astronaut john :75
aerospace research :75
x15 proj :74
scout booster :74
review board :74
physics experiment :74
kick motor :74
jsc roundup :74
dr harold :74
astronomical observatory :74
astronautics subcommittee :74
armed forces :74
apollo telescope :74
air transport :74
a2 baykonur :74
11 astronauts :74
telescope mount :73
solar physics :73
shuttle main :73
robert s :73
nasa budget :73
million miles :73
michael collins :73
july 76 :73
july 26 :73
gordon cooper :73
description cylinder :73
control systems :73
american institute :73
walter m :72
titan iii :72
smithsonian astrophysical :72
sept 76 :72
exceptional service :72
earth satellite :72
e mueller :72
data obtained :72
costplusawardfee contract :72
b shepard :72
april 12 :72
apollo mission :72
research projects :71
recovery ship :71
radio astronomy :71
press briefing :71
orbital data :71
nasa ann :71
mission scheduled :71
lerc release :71
landing sites :71
fy 1965 :71
fy 1964 :71
executive secretary :71
engineering development :71
electron density :71
development center :71
david r :71
atlas centaur :71
air defense :71
william j :70
vandenberg air :70
unmanned spacecraft :70
rocket booster :70
r scott :70
preliminary design :70
nasa releases :70
nasa lewis :70
frc release :70
data indicated :70
z c :69
weather satellites :69
test flights :69
space nuclear :69
space council :69
resources technology :69
project gemini :69
primary mission :69
page blank :69
p stafford :69
msfc reported :69
manned apollo :69
intelsat release :69
dod announced :69
commercial communications :69
3rd stage :69
wallops flight :68
space communications :68
pan american :68
lewis news :68
wide range :67
tv camera :67
space applications :67
nov 75 :67
niketomahawk sounding :67
nasa awarded :67
krasnaya zvezda :67
july 16 :67
grumman aerospace :67
gemini vi :67
gemini v :67
experiment package :67
determine whether :67
aeron space :67
000 contract :67
tv cameras :66
san marco :66
roving vehicle :66
preceding page :66
perigee period :66
orbiting astronomical :66
nuclear propulsion :66
nasa aerobee :66
manned spaceflight :66
lunar roving :66
liftingbody vehicle :66
launched july :66
launched feb :66
hopkins univ :66
faa administrator :66
electronics research :66
color tv :66
black brant :66
apogee st :66
wsmr carried :65
wind tunnel :65
week reported :65
washington star :65
supersonic aircraft :65
nuclear test :65
launched march :65
launched dec :65
goddard news :65
dr frank :65
cambridge research :65
c h :65
apogee perigee :65
test center :64
supercritical wing :64
successful completion :64
shepard jr :64
satisfactorily nasa :64
rocketdyne div :64
nasa lar :64
nasa langley :64
massachusetts institute :64
june 75 :64
june 14 :64
houston chron :64
federal agencies :64
carried univ :64
aviation inc :64
assembly facility :64
apollo missions :64
air forces :64
25 million :64
000 mi :64
william r :63
tv pictures :63
titan iiic :63
space law :63
south america :63
satellite entered :63
research centers :63
payload specialists :63
orbiting space :63
nuclear weapons :63
maximum speed :63
launched aug :63
km period :63
july 1975 :63
halleys comet :63
george p :63
gamma rays :63
fy 1967 :63
edwards air :63
design development :63
atsst trans :63
space activity :62
provide data :62
nasa space :62
nasa selected :62
nasa rpts :62
m schirra :62
july 14 :62
dr donald :62
communications description :62
aircraft noise :62
advanced technology :62
space bus :61
robert r :61
radiation belt :61
primary objectives :61
president ford :61
nasa planned :61
missile systems :61
july 31 :61
international corp :61
instruments performed :61
federal rd :61
etr s :61
churchill canada :61
aerospace industries :61
30 days :61
systems division :60
soviet cosmonaut :60
science adviser :60
nasa research :60
march 16 :60
manned missions :60
l gordon :60
july 21 :60
john l :60
b52 aircraft :60
v booster :59
technology laboratories :59
soyuz spacecraft :59
prime minister :59
plasma physics :59
nuclear reactor :59
msc roundup :59
michoud assembly :59
meteorological satellites :59
maj gen :59
liquid oxygen :59
jpl release :59
intelsat iv :59
dr joseph :59
complex 39 :59
asteroid belt :59
adjudged successful :59
tass fbissov :58
space tracking :58
space cooperation :58
natural resources :58
moon landing :58
lyndon b :58
lunar soil :58
launched jan :58
heat shield :58
gravitational field :58
global communications :58
federal communications :58
esa announced :58
dr richard :58
domestic communications :58
cosmos satellites :58
cosmic ray :58
communist china :58
000 ft :58
thrustaugmented thordelta :57
telephone telegraph :57
space network :57
princeton univ :57
perigee st :57
north atlantic :57
nasa successfully :57
environmental protection :57
electric fields :57
defense command :57
costplusfixedfee contract :57
communications commission :57
center director :57
associate director :57
22 nasa :57
20 million :57
york city :56
wright brothers :56
solar heating :56
polar cap :56
payload specialist :56
lunar excursion :56
june 15 :56
h glenn :56
environmental satellite :56
donald k :56
cornell univ :56
aug 76 :56
aug 75 :56
associated press :56
april 24 :56
air show :56
air pollution :56
ws release :55
vehicle piloted :55
test stand :55
shuttle missions :55
science monitor :55
p miller :55
midcourse correction :55
merritt island :55
marietta corp :55
lunar science :55
lunar material :55
joined nasa :55
highly elliptical :55
geostationary orbit :55
flight centers :55
development administration :55
assembly building :55
applied research :55
apollo astronauts :55
apogee kick :55
300 million :55
200 million :55
1st stage :55
16 nasa :55
transportation systems :54
telegraph co :54
sunsynchronous orbit :54
station carried :54
stanford univ :54
space budget :54
soviet spacecraft :54
scientific knowledge :54
satellite systems :54
rpts srl :54
president nixons :54
pioneer venus :54
outer planets :54
north america :54
james b :54
french guiana :54
faa announced :54
development test :54
data processing :54
aerobee 170 :54
z o :53
witkin nyt :53
whitney div :53
unavailable plesetsk :53
space race :53
scientific satellites :53
satellite data :53
research vehicle :53
research development :53
radio waves :53
orbital space :53
onboard systems :53
news reported :53
nasa assistant :53
mercury spacecraft :53
martian surface :53
lunar mission :53
landing gear :53
laboratory mol :53
july 75 :53
jet engine :53
excursion module :53
engineering corp :53
edward h :53
b johnson :53
astronomer dr :53
western europe :52
total cost :52
tape recorder :52
support equipment :52
space mission :52
space medicine :52
solid rocket :52
science research :52
satellite tracking :52
satellite situation :52
satellite organization :52
s mcnamara :52
rocket motors :52
physics laboratory :52
originally scheduled :52
nasa ames :52
mar 76 :52
launched june :52
june 16 :52
july 28 :52
intl designation :52
former astronaut :52
flight path :52
collect data :52
christian science :52
backup crew :52
army corps :52
apollo command :52
acting director :52
50 million :52
west longitude :51
useful data :51
ultraviolet radiation :51
test pilots :51
space development :51
scout launch :51
rep george :51
powered flight :51
p anderson :51
mississippi test :51
materials processing :51
mariner ii :51
july 29 :51
independent offices :51
huntsville ala :51
homer e :51
h goddard :51
edward c :51
dr paine :51
cosmic radiation :51
clinton p :51
chief scientist :51
april 19 :51
april 14 :51
30 million :51
15 nasa :51
12 nasa :51
100 times :51
100 000 :51
thomas o :50
support systems :50
s launched :50
robert l :50
research programs :50
peaceful purposes :50
passed hr :50
o paine :50
nasa historian :50
mass spectrometer :50
march 31 :50
maj usaf :50
low earth :50
launched sept :50
laser beams :50
june 29 :50
july 15 :50
jet transport :50
james r :50
gsfc experiment :50
ground support :50
functioned normally :50
eugene m :50
dryden flight :50
dec 16 :50
atlantic missile :50
arms control :50
26 nasa :50
17 nasa :50
12 million :50
yuri gagarin :49
working groups :49
west coast :49
venus probe :49
unavailable objective :49
space centers :49
situation report :49
single booster :49
short takeoff :49
sen william :49
scientific objectives :49
scientific equipment :49
reuters wash :49
range carrying :49
r gilruth :49
principal investigator :49
operational satellite :49
northrop corp :49
nasa x15 :49
nasa historical :49
msfc director :49
medical research :49
major nasa :49
july 24 :49
jpl universe :49
jan 31 :49
gsfc release :49
gsfc payload :49
fy 1976 :49
fully operational :49
fuel consumption :49
foreign countries :49
flight testing :49
flight control :49
federal support :49
dec 75 :49
charles m :49
baykonur cosmodrome :49
baltimore sun :49
april 16 :49
aerospace daily :49
a2e plesetsk :49
740° inclination :49
500 million :49
20 nasa :49
spacecraft entered :48
space studies :48
space projects :48
space probe :48
space biology :48
solar eclipse :48
solar cell :48
site payload :48
sir bernard :48
president lyndon :48
planet venus :48
operating satisfactorily :48
oct 76 :48
nasa nikeapache :48
nasa flight :48
msc announced :48
million lbs :48
mi above :48
langley researcher :48
june 28 :48
june 21 :48
july 17 :48
james m :48
intercontinental ballistic :48
glenn jr :48
f kennedy :48
dr homer :48
control data :48
concorde supersonic :48
astronomy experiment :48
astronauts neil :48
astronaut frank :48
arnold engineering :48
american society :48
yrs ago :47
tv coverage :47
told press :47
third stage :47
test firing :47
technical problems :47
senate passed :47
scientific information :47
satellite corporation :47
relay satellite :47
period minutes :47
operating normally :47
o m :47
nasas space :47
nasa appropriation :47
launch services :47
june 27 :47
jones nyt :47
instrument unit :47
estimated cost :47
deputy assistant :47
commercial service :47
atlas booster :47
april 17 :47
annual report :47
28 nasa :47
vehicle assembly :46
successfully tested :46
space tug :46
service modules :46
rockets launched :46
reentered oct :46
principal investigators :46
planets surface :46
pilot john :46
photos taken :46
period inclination :46
nation remarks :46
motion sickness :46
k slayton :46
june 24 :46
june 12 :46
joint usussr :46
jet fighter :46
ib launch :46
handling qualities :46
geodetic satellite :46
gemini vii :46
flight safety :46
east coast :46
coast guard :46
cambridge mass :46
california institute :46
c welsh :46
black hole :46
august astronautics :46
astronauts james :46
appropriations committee :46
agena b :46
afsc announced :46
above earth :46
1980 astronautics :46
15 astronauts :46
14 nasa :46
11 lunar :46
unavailable cosmos :45
test objectives :45
telemetry data :45
surveyor iii :45
successful test :45
space travel :45
soft landing :45
september astronautics :45
rockwell inti :45
robert j :45
research corp :45
ranger vii :45
rand corp :45
probe launched :45
president reagan :45
operations center :45
nuclear energy :45
nose cone :45
motor fired :45
million below :45
march 74 :45
manned mission :45
lbs thrust :45
laser beam :45
june astronautics :45
july 25 :45
july 18 :45
john e :45
intelsat iva :45
geophysical observatory :45
flight plan :45
edgar d :45
e newell :45
dr j :45
dr eugene :45
defense robert :45
communications inc :45
columbia univ :45
chrysler corp :45
april 15 :45
antiballistic missile :45
american telephone :45
american astronautical :45
aerospace medicine :45
700 kg :45
30 min :45
18 nasa :45
zero gravity :44
unmanned space :44
titan iiibagena :44
tiros operational :44
temperature pressure :44
soyuz 11 :44
soviet press :44
sonic booms :44
sept 74 :44
reconnaissance satellite :44
projects agency :44
plans called :44
orbiting geophysical :44
orbita network :44
objective provide :44
objective measure :44
nickelcadmium batteries :44
newsreview reported :44
navigation satellite :44
nasa released :44
miles above :44
march 17 :44
lunar probe :44
los alamos :44
international air :44
ii booster :44
gsfc proj :44
federal republic :44
february astronautics :44
boeing 707 :44
avwk reported :44
areas sounding :44
william proxmire :43
william hines :43
tracking data :43
test vehicle :43
target vehicle :43
tape recorders :43
station va :43
sept 75 :43
sen clinton :43
president johnsons :43
preliminary data :43
plesetsk cosmos :43
north pole :43
nasa launch :43
nasa auth :43
mi downrange :43
march 15 :43
lt gen :43
lrc release :43
l bean :43
june 18 :43
july 22 :43
huntsville times :43
ground controllers :43
ground control :43
geophysical union :43
g h :43
esa info :43
entered lunar :43
energetic particles :43
comsatcorp announced :43
cm pilot :43
civil aeronautics :43
astronomy satellite :43
amateur radio :43
alan l :43
air density :43
air command :43
150 mi :43
weather conditions :42
ussr announced :42
soviet manned :42
south pole :42
south africa :42
shuttle operations :42
sen john :42
schirra jr :42
resources survey :42
research satellite :42
research pilot :42
project scientist :42
preliminary results :42
plum brook :42
picture transmission :42
noaa release :42
nasa spokesman :42
mission specialist :42
miller dcalif :42
martin co :42
m scott :42
launch facilities :42
june 26 :42
june 19 :42
january astronautics :42
h pickering :42
h n :42
grumman aircraft :42
ground command :42
force space :42
fixedprice contract :42
environmental control :42
electric corp :42
douglas astronautics :42
delta launch :42
defense research :42
dec 76 :42
corp announced :42
blue scout :42
astronautics co :42
astronautical society :42
april 30 :42
april 26 :42
april 18 :42
antimissile missile :42
anglofrench concorde :42
agency esa :42
500 000 :42
29 nasa :42
100 mi :42
william c :41
union launched :41
total value :41
thordelta launch :41
test site :41
systems engineering :41
successful flight :41
space club :41
shabad nyt :41
satellite service :41
rocket carried :41
robert f :41
reusable space :41
remote areas :41
reentry vehicle :41
protection agency :41
press reported :41
physicist dr :41
objective study :41
nobel prize :41
nasas mariner :41
msc director :41
military communications :41
marine corps :41
maj robert :41
maiden flight :41
live tv :41
june 17 :41
july 11 :41
international space :41
h dana :41
gather data :41
earths magnetosphere :41
dr paul :41
dec 31 :41
command pilot :41
billion dollars :41
bill hr :41
astronaut neil :41
american astronauts :41
air lines :41
aerospace technology :41
aerojetgeneral corp :41
advanced manned :41
000 000 :41
william e :40
via satellite :40
urban development :40
unidentified satellites :40
tracking network :40
test satellite :40
technology center :40
speed record :40
soviet news :40
solar arrays :40
secondary payload :40
science advisory :40
satellite carried :40
rocket reached :40
research project :40
range carried :40
oct 75 :40
nov 28 :40
nasas apollo :40
measure electron :40
mars probe :40
march 22 :40
km km :40
june 22 :40
jsc announced :40
john d :40
jet engines :40
interplanetary monitoring :40
international designation :40
intelsat v :40
ii launched :40
global atmospheric :40
dr philip :40
docking adapter :40
defense communications :40
dec 11 :40
communications systems :40
center msfc :40
center awarded :40
ballistic missiles :40
b irwin :40
april astronautics :40
april 11 :40
apollo flights :40
agency tass :40
aeronautical systems :40
accounting office :40
27 nasa :40
23 nasa :40
21 nasa :40
19 nasa :40
wrightpatterson afb :39
william f :39
weight 700 :39
upper stages :39
thordelta booster :39
supersonic airliner :39
successfully fired :39
strategic arms :39
sst development :39
services administration :39
scott carpenter :39
richard f :39
reconnaissance aircraft :39
objective test :39
nasa dly :39
longtank thrustaugmented :39
launched oct :39
june 25 :39
july 12 :39
journal reported :39
harvard univ :39
fuel cells :39
fuel cell :39
fra mauro :39
feb 76 :39
f gordon :39
european countries :39
dr von :39
design studies :39
degrees remarks :39
december astronautics :39
cosmonaut yuri :39
convair 990 :39
commercial aircraft :39
aug 12 :39
atlas f :39
astronautical events :39
astronaut walter :39
april 25 :39
applied physics :39
american science :39
achievement award :39
654° inclination :39
24 nasa :39
170 sounding :39
15 min :39
13 million :39
11 nasa :39
wfc release :38
viking spacecraft :38
vehicle systems :38
thomas c :38
strategic defense :38
space laboratory :38
soviet unions :38
solar plasma :38
solar flare :38
sodium vapor :38
shuttle development :38
scientific achievement :38
saturn launch :38
quiet sun :38
pure oxygen :38
propulsion office :38
nasa scientists :38
nasa launches :38
name country :38
mcdonnell aircraft :38
march 24 :38
low nasa :38
july astronautics :38
july 30 :38
jpl scientists :38
industries inc :38
gamma ray :38
fy 1966 :38
fairbanks alaska :38
european launcher :38
equatorial orbit :38
detudes spatiales :38
d mitchell :38
closest approach :38
charles h :38
celestial bodies :38
ap reported :38
aircraft engineering :38
afb tex :38
aerospace medical :38
400 million :38
20 times :38
000 m :38
un committee :37
test series :37
telephone calls :37
systems organization :37
surveyor spacecraft :37
successful launch :37
spacecraft scheduled :37
spacecraft configuration :37
sound arrivals :37
solar corona :37
scientists reported :37
scientific results :37
scientific investigations :37
satellites space :37
rocket range :37
rocket performed :37
press reports :37
partially successful :37
outstanding leadership :37
nov 15 :37
nixon announced :37
nearpolar orbit :37
mueller nasa :37
mission operations :37
missiles space :37
march astronautics :37
march 27 :37
march 20 :37
launched successfully :37
july 19 :37
joint working :37
john b :37
jan 22 :37
international communications :37
international affairs :37
intelsat announced :37
industrial research :37
harrison h :37
h schmitt :37
fuel tank :37
former director :37
five times :37
february 20 :37
est dec :37
en route :37
dr seamans :37
dr david :37
domestic satellite :37
december 19 :37
data relay :37
contract extension :37
congressional record :37
conference report :37
civilian space :37
c kraft :37
bernard lovell :37
beach calif :37
astronaut james :37
april 23 :37
apogee km :37
15 billion :37
13 nasa :37
11 mission :37
weight 2000 :36
weapon systems :36
vehicle performance :36
tv channels :36
test ban :36
study contracts :36
strategic air :36
station near :36
spacelab mission :36
space walk :36
southern hemisphere :36
rice univ :36
re search :36
presidents science :36
post editorial :36
october astronautics :36
oct 18 :36
newport news :36
negotiations leading :36
near future :36
mercury capsule :36
martian atmosphere :36
mariner vi :36
main propulsion :36
june 11 :36
joseph p :36
initial orbital :36
highly successful :36
health education :36
gemini viii :36
flight hardware :36
flight dr :36
experimental station :36
elliptical transfer :36
docking mission :36
dly actv :36
december 12 :36
christopher c :36
chemical composition :36
british aircraft :36
april 22 :36
april 20 :36
american scientists :36
american geophysical :36
alfred m :36
aec release :36
25 nasa :36
22 astronautics :36
2000 kg :36
x15 flight :35
weather forecasting :35
usaf titan :35
unidentified flying :35
trw systems :35
text nasa :35
st ml :35
spacecraft country :35
space task :35
sept 30 :35
rocket launches :35
reimburse nasa :35
receiving laboratory :35
pm local :35
nov 14 :35
nations space :35
nasa special :35
nasa issued :35
nasa employees :35
middle east :35
midcourse maneuver :35
march 21 :35
m duke :35
lm pilot :35
little joe :35
ksc launch :35
july 27 :35
iii launched :35
human beings :35
heliocentric orbit :35
hamilton standard :35
haise jr :35
ground tests :35
ground test :35
gordon jr :35
gold medal :35
flight scheduled :35
feb 75 :35
fbis reported :35
executive officer :35
dr h :35
downey calif :35
development costs :35
deputy chief :35
data collection :35
communist party :35
communications experiments :35
became operational :35
automatic picture :35
astronaut alan :35
april 75 :35
american air :35
45 million :35
24 hours :35
14 astronautics :35
11 astronaut :35
weather data :34
voskhod ii :34
tv transmission :34
threeman crew :34
thomas k :34
tests conducted :34
test firings :34
test article :34
space suits :34
services committee :34
service award :34
scientists engineers :34
reentered april :34
rd funds :34
rd expenditures :34
poker flat :34
phase b :34
pacific missile :34
p inq :34
orbit achieved :34
oct 11 :34
objective orbit :34
nov 76 :34
news service :34
nasas fy :34
minuteman icbm :34
meteorological sounding :34
meteorological data :34
maneuvering unit :34
launcher development :34
launch escape :34
larc announced :34
kapustin yar :34
jan 23 :34
industry affairs :34
flight conditions :34
etr total :34
earth orbital :34
duke jr :34
data systems :34
crab nebula :34
contract called :34
carbon monoxide :34
brought total :34
ascent stage :34
allen belts :34
aeronautics board :34
actv rpt :34
40 million :34
27 cosmos :34
250 million :34
voyager spacecraft :33
vice chairman :33
thermal protection :33
thermal control :33
systems inc :33
south atlantic :33
solar orbit :33
secondary objectives :33
scout total :33
scientific exploration :33
samuel c :33
ronald e :33
rocket research :33
research facility :33
reaction control :33
range nm :33
proxmire dwis :33
previous record :33
payload bay :33
orbiting satellite :33
operations control :33
operational meteorological :33
operational environmental :33
onboard equipment :33
nuclear engine :33
november astronautics :33
november 18 :33
nov 17 :33
nixon administration :33
neil armstrong :33
nasas lunar :33
nasa provided :33
nasa programs :33
nasa prog :33
nasa engineers :33
monitoring platform :33
march 75 :33
manned exploration :33
m worden :33
lunar sample :33
lunar receiving :33
luna ix :33
km min :33
k mattingly :33
june 13 :33
july 13 :33
international astronautical :33
infrared radiometer :33
industries assn :33
incli nation :33
goldstone calif :33
gemini iv :33
future manned :33
force cambridge :33
flight log :33
flight director :33
dr mueller :33
dr kurt :33
dr dryden :33
diego union :33
development organization :33
defense secretary :33
dec 14 :33
country launch :33
chief executive :33
barrow alaska :33
bank experimental :33
aug 27 :33
astronauts alan :33
aerobee 150a :33
aec chairman :33
aec announced :33
75 million :33
30 nasa :33
windtunnel tests :32
westinghouse electric :32
west germanys :32
voice circuits :32
ussr successfully :32
usaf successfully :32
thiokol chemical :32
super areas :32
static test :32
star news :32
sq ft :32
spacecraft design :32
spacecraft carried :32
space physics :32
