senate committee on aeronautical and space sciences :118
∞ house committee on science and astronauticsâ€™ :7
∞ dr robert c seamans jr secretary :7
∞ dr hugh l dryden nasa deputy :7
∞ dr george e mueller nasa associate :7
∞ aerobee 150 sounding rocket was launched :7
years of goddard space flight center nasa :7
white sands mis sile range carrying a :7
which are a day later in this :7
wernher von braun director of nasa marshall :7
welsh executive secretary of the national aeronautics :7
was launched by ussr from plesetsk into :7
was launched by the ussr from plesetsk :7
was launched by nasa from churchill research :7
von braun director of nasa marshall space :7
vehicle piloted by nasa test pilot william :7
vance d brand and donald k slayton :7
v launch vehicle and ksc for launch :7
v astronauts l gordon cooper and charles :7
ussr launched two cosmos satellites from plesetsk :7
use of outer space for peaceful purposes :7
unknown unk has been provided for payloads :7
unk has been provided for payloads where :7
under the direction of the office of :7
tracking and data relay satellite system tdrss :7
to obtain ozone measurements in conjunction with :7
to at least the 4000mile altitude that :7
those dates that are one day earlier :7
thomas p stafford vance d brand and :7
thomas p stafford and eugene a cernan :7
this new ocean a history of project :7
the satellite situation report issued by the :7
the latest available to date within nasa :7
the date marks those dates that are :7
test pilot john a manke successfully completed :7
telephone and telegraph radio communications in the :7
technology satellite launched by nasa july 23 :7
submitted to the senate the nomination of :7
subcommittee of the house committee on science :7
sounding rockets etc or c conveyed one :7
sounding rocket from white sands mis sile :7
smithsonian institutionâ€™s national air and space museum :7
sir bernard lovell director of jodrell bank :7
since many of the results can not :7
secretary of the air force dr harold :7
scott alfred m worden and james b :7
science and astronauticsâ€™ subcommittee on space science :7
science and astronauticsâ€™ subcommittee on nasa oversight :7
science and astronauticsâ€™ subcommittee on advanced research :7
satellites of other foreign nations are from :7
rockets etc or c conveyed one or :7
rocket launched from nasa wallops station reached :7
rocket from white sands mis sile range :7
resources technology satellite launched by nasa july :7
rep olin e teague dtex chairman of :7
registry the satellite situation report issued by :7
raymond l bisplinghoff nasa associate administrator for :7
r scott alfred m worden and james :7
published by the house committee on science :7
public registry the satellite situation report issued :7
public information releases of the department of :7
procurement launch and initial checkout of spacecraft :7
other agencies as well as those of :7
one day earlier in this tabulation than :7
on science and astronauticsâ€™ subcommittee on advanced :7
on satellites of other foreign nations are :7
office of manned space flight msc was :7
of longrange telephone and telegraph radio communications :7
ocean a history of project mercury nasa :7
niketomahawk sounding rocket launched by nasa from :7
new ocean a history of project mercury :7
nerva nuclear engine for rocket vehicle application :7
neil a armstrong and edwin e aldrin :7
necessarily arbitrary since many of the results :7
nasc executive secretary dr edward c welsh :7
nasa office of manned space flight msc :7
nasa administrator james e webb said in :7
marks those dates that are one day :7
longrange telephone and telegraph radio communications in :7
lifting body piloted by william h dana :7
launched by ussr from plesetsk into orbit :7
launched by the ussr from plesetsk into :7
launched by nasa from wsmr with vam20 :7
launched a black brant vc sounding rocket :7
launch vehicle and ksc for launch operations :7
launch and initial checkout of spacecraft in :7
jr edgar d mitchell and stuart a :7
jr dr joseph p kerwin and paul :7
in the office of aeronautics and space :7
in series was to obtain stability and :7
in nasa office of manned space flight :7
house committee on science and astronautics favorably :7
has been made to classify the performance :7
hamilton standard div of united aircraft corp :7
gsfc under overall direction of nasa office :7
gordon cooper lcol usaf and charles conrad :7
goddard space flight center was responsible for :7
goddard space flight center payload to a :7
gemini v astronauts l gordon cooper and :7
from white sands mis sile range carrying :7
from ksc launch complex 39 pad a :7
for the national oceanic and atmospheric administration :7
for procurement launch and initial checkout of :7
for negotiations leading to award of a :7
flights are the latest available to date :7
flight center announced the award of a :7
etc or c conveyed one or more :7
equipment was said to be functioning normally :7
edgar d mitchell and stuart a roosa :7
earth resources technology satellite launched july 23 :7
earth resources technology satellite launched by nasa :7
earlier in this tabulation than in listings :7
dr raymond l bisplinghoff nasa associate administrator :7
dr joseph p kerwin and paul j :7
dr james c fletcher nasa administrator presented :7
dr charles s sheldon 11 chief of :7
dr charles a berry nasa director of :7
day earlier in this tabulation than in :7
date marks those dates that are one :7
data on satellites of other foreign nations :7
data acquisition was managed by gsfc under :7
cooper lcol usaf and charles conrad jr :7
conrad jr richard f gordon jr and :7
conrad jr dr joseph p kerwin and :7
committee on science and astronautics favorably reported :7
commander of the air force systems command :7
charles a berry director of medical research :7
by ussr from plesetsk into orbit with :7
by the date marks those dates that :7
by nasa from wsmr with vam20 booster :7
berry director of medical research and operations :7
attempt has been made to classify the :7
astronauts neil a armstrong and edwin e :7
astronauts l gordon cooper lcol usaf and :7
astronauticsâ€™ subcommittee on space science and applications :7
associate administrator for aeronautics and space technology :7
assistant nasa historian for manned space flight :7
are the latest available to date within :7
are one day earlier in this tabulation :7
are necessarily arbitrary since many of the :7
arcas sounding rocket launched by nasa from :7
arbitrary since many of the results can :7
apollo 15 astronauts david r scott james :7
apollo 12 astronauts charles conrad jr richard :7
and to obtain stability and control data :7
and other agencies as well as those :7
and initial checkout of spacecraft in orbit :7
and data acquisition was managed by gsfc :7
and astronauticsâ€™ subcommittee on advanced research and :7
alfred m worden and james b irwin :7
aircraft equipped with supercritical wing and piloted :7
air force space and missile systems organization :7
agencies as well as those of the :7
aeronautics and space report of the president :7
aerobee 150 sounding rocket was launched by :7
a black brant vc sounding rocket from :7
a berry director of medical research and :7
a armstrong and edwin e aldrin jr :7
4 astronauts gerald p carr dr edward :7
12 astronauts charles conrad jr richard f :7
1 earth resources technology satellite launched by :7
∞the house committee on science and astronauticsâ€™ :6
∞marshall space flight center announced award of :6
∞ usaf launched an unidentified satellite from :6
∞ president nixon sent message to congress :6
∞ niketomahawk sounding rocket was launched by :6
∞ nasaâ€™s g l o liftingbody vehicle :6
∞ nasa administrator james e webb announced :6
∞ arcas sounding rocket was launched by :6
∞ arcas sounding rocket launched by nasa :6
∞ apollo 11 astronaut neil a armstrong :6
would transmit soviet central tv programs to :6
would reimburse nasa for the cost of :6
would be made available to world scientific :6
working group on space biology and medicine :6
wing flown on tf8a jet aircraft piloted :6
william d putnam assistant nasa historian for :6
were to expand flight envelope to mach :6
was launched from barking sands hawaii to :6
vehicles larger than sounding rockets launched either :6
ussr and would transmit soviet central tv :6
united states had conducted a total of :6
unidentified satellites with atlasagena d booster from :6
unidentified satellites from vandenberg afb by thoragena :6
translations from the tass news agency statements :6
tracking data to have fulfilled our definition :6
totals for manned spacecraft hours in flight :6
told the house committee on science and :6
to have fulfilled our definition of satellite :6
to classify the performance of both the :6
three categories have been used for evaluating :6
this list does not include all sources :6
these divisions are necessarily arbitrary since many :6
the ussr from plesetsk into orbit with :6
the ussr and would transmit soviet central :6
the united states had conducted a total :6
the tass news agency statements in the :6
the soviet press and international news services :6
the senate aeronautical and space sciences committee :6
the performance of both the launch vehicle :6
the national oceanic and atmospheric administration and :6
the main chronology as referenced in the :6
the fact that a great deal is :6
the end of the year the entire :6
the data base for a climatology of :6
the american association for the advancement of :6
the american assn for the advancement of :6
that may have been classified as unsuccessful :6
that a great deal is learned from :6
than sounding rockets launched either by nasa :6
than in listings which reference to greenwich :6
testimony before house committee on science and :6
temperature pressure density and wind data in :6
sworn in as consultant to nasa administrator :6
supercritical wing flown on tf8a jet aircraft :6
succeededor at least can be shown by :6
space whether orbit was attained or not :6
space flight msc was responsible for apollo :6
space flight dr george e mueller said :6
space flight center public information releases of :6
soviet press and international news services reports :6
soviet launches which are a day later :6
soviet academy of sciences president mstislav v :6
sounding rockets launched either by nasa or :6
sounding rocket launched from white sands n :6
solar heating and cooling demonstration act of :6
skylab program director william c schneider said :6
skylab 4 astronauts gerald p carr dr :6
shown by tracking data to have fulfilled :6
shepard jr edgar d mitchell and stuart :6
series was to obtain stability and control :6
secretary of the air force for research :6
saturn v launch vehicle and ksc for :6
rosenthal venture into space early years of :6
rockets launched either by nasa or under :6
rocket vehicles larger than sounding rockets launched :6
rocket launched from white sands n mex :6
rocket launched by nasa from wsmr with :6
robert r gilruth director of nasa manned :6
robert c seamans jr nasa associate administrator :6
responsible for apollo spacecraft development msfc for :6
research a history of the ames research :6
radio communications in the ussr and would :6
radio astronomy observatory at green bank w :6
putnam assistant nasa historian for manned space :6
program was directed by ossa lunar and :6
probes ascended to at least the 4000mile :6
piloted by nasa test pilot thomas c :6
peaceful uses of outer space meeting in :6
p hartman adventures in research a history :6
our definition of satellite or probe or :6
orbit 3 in lunar orbit and 6 :6
or c conveyed one or more human :6
office of aeronautics and space technology oast :6
of the national center for atmospheric research :6
of the national air and space museum :6
of the national advisory committee for aeronautics :6
of the air force dr harold brown :6
of soviet launches which are a day :6
of medical research and operations at msc :6
of manned space flight msc was responsible :6
of landing a man on the moon :6
of house committee on science and astronauticsâ€™ :6
of goddard space flight center nasa sp4301 :6
obtain ozone measurements in conjunction with nimbus :6
o liftingbody vehicle piloted by nasa test :6
nikecajun sounding rocket launched by nasa from :6
naugle nasa associate administrator for space science :6
nasa test pilot thomas c mcmurtry successfully :6
nasa test pilot john a manke successfully :6
nasa proj o f f ∞ nasa :6
nasa office of tracking and data acquisition :6
nasa nikeapache sounding rocket launched from nasa :6
nasa marshall space flight center huntsville ala :6
nasa launched series of three sounding rockets :6
nasa from churchill research range carried univ :6
nasa associate administrator for tracking and data :6
msfc for saturn v launch vehicle and :6
missions that may have been classified as :6
mission resultssuccessful s partially successful p and :6
mills link space medicine in project mercury :6
michael collins and edwin e aldrin jr :6
member of house committee on science and :6
manned space flight msc was responsible for :6
main chronology as referenced in the index :6
mae mills link space medicine in project :6
made to classify the performance of both :6
m schirra jr donn f eisele and :6
m grimwood and charles c alexander this :6
lovell jr and edwin e aldrin jr :6
least can be shown by tracking data :6
learned from missions that may have been :6
launches which are a day later in :6
launched series of three sounding rockets from :6
launched by nasa from wallops station at :6
launched aerobee 150 sounding rocket from white :6
larger than sounding rockets launched either by :6
l o liftingbody vehicle piloted by nasa :6
l bisplinghoff nasa associate administrator for advanced :6
jr richard f gordon jr and alan :6
john e naugle nasa associate administrator for :6
javelin sounding rocket launched by nasa from :6
james a lovell jr and edwin e :6
is learned from missions that may have :6
into space whether orbit was attained or :6
information releases of the department of defense :6
increment to a previously awarded contract for :6
in the ussr and would transmit soviet :6
in the office of manned space flight :6
in the main chronology as referenced in :6
in research a history of the ames :6
house subcommittee on space science and applications :6
house committee on interstate and foreign commerce :6
house commit tee on science and astronautics :6
history of project mercury nasa sp4201 1966 :6
have fulfilled our definition of satellite or :6
has distinguished probes from sounding rockets etc :6
hartman adventures in research a history of :6
grimwood and charles c alexander this new :6
great deal is learned from missions that :6
goddard space flight center public information releases :6
goddard space flight center nasa sp4301 1968 :6
georgy t beregovoy and konstantin p feoktistov :6
fy 1971 independent offices and hud appropriations :6
fulfilled our definition of satellite or probe :6
from vandenberg afb by titan iiibagena booster :6
from the tass news agency statements in :6
from the eastern test range on a :6
from sounding rockets etc or c conveyed :6
from missions that may have been classified :6
fourth category unknown unk has been provided :6
former nasa associate administrator for manned space :6
force space and missile systems organization samso :6
for saturn v launch vehicle and ksc :6
for apollo spacecraft development msfc for saturn :6
for a climatology of stratospheric ozone in :6
flown on tf8a jet aircraft piloted by :6
flight msc was responsible for apollo spacecraft :6
flight center public information releases of the :6
flight after air launch from b52 aircraft :6
fact that a great deal is learned :6
equipped with supercritical wing and piloted by :6
entries in the main chronology as referenced :6
end of the year the entire manuscript :6
early years of goddard space flight center :6
e naugle nasa associate administrator for space :6
dr wernher von braun director of nasa :6
dr robert r gilruth director of nasa :6
dr james c fletcher nasa administrator in :6
divisions are necessarily arbitrary since many of :6
distinguished probes from sounding rockets etc or :6
director of nasa marshall space flight center :6
definition of satellite or probe or manned :6
deal is learned from missions that may :6
dcalif chairman of house committee on science :6
dates of soviet launches which are a :6
data to have fulfilled our definition of :6
data base for a climatology of stratospheric :6
daniel and florence guggenheim international astronautics award :6
d putnam assistant nasa historian for manned :6
cumulative totals for manned spacecraft hours in :6
consultant to nasa administrator james e webb :6
communications in the ussr and would transmit :6
committee on aeronautical and space sciences said :6
comments additions and criticisms are always welcomed :6
climatology of stratospheric ozone in the tropics :6
classify the performance of both the launch :6
chairman of the senate committee on aeronautical :6
chairman of the national aeronautics and space :6
category unknown unk has been provided for :6
categories have been used for evaluating vehicle :6
can be shown by tracking data to :6
c conveyed one or more human beings :6
by william d putnam assistant nasa historian :6
by tracking data to have fulfilled our :6
by the ussr from plesetsk into orbit :6
by the energy research and development administration :6
by senate committee on aeronautical and space :6
by nasa from churchill research range carrying :6
by leonard c bruno of the library :6
braun director of nasa marshall space flight :6
been turned on and were operating satisfactorily :6
been made to classify the performance of :6
be shown by tracking data to have :6
