objective continuation of outer space investigations :522
from white sands missile range n :14
for the national oceanic and atmospheric :14
for negotiations leading to award of :14
dr rocco a petrone apollo program :14
dr george m low acting nasa :14
dr charles a berry nasa director :14
director of medical research and operations :14
development of spaceflight techniques and technology :14
dcalif chairman of house committee on :14
continuation of cos mos scientific satellite :14
chairman of the house committee on :14
center at goddard space flight center :14
center announced the award of a :14
by the house committee on science :14
by dr frank w anderson jr :14
assn for the advancement of science :14
assistant secretary of the air force :14
apollo 15 astronauts david r scott :14
and telemetry and backup calculations through :14
and manned space flights a chronicle :14
• senate committee on aeronautical and :13
• president nixon submitted to senate :13
would be compared with data from :13
welsh executive secretary of the national :13
weight unavailable objective continuation of outer :13
univ of california at san diego :13
united nations public registry the satellite :13
unavailable objective undisclosed description unavailable total :13
unavailable objective continuation of outer space :13
total weight unavailable objective continuation of :13
the united nations public registry the :13
the soviet press and international news :13
the office of aeronautics and space :13
the national center for atmospheric research :13
the european space research organization esro :13
tass news agency statements in the :13
statements in the soviet press and :13
space flight center announced the award :13
see national aeronautics and space administration :13
secretary of the air force eugene :13
satisfactorily and good data were obtained :13
satellite from vandenberg afb by titan :13
rocket launched from churchill research range :13
proper transfer orbit provide tracking and :13
piloted by nasa test pilot william :13
operations control center at goddard space :13
of nasa marshall space flight center :13
of nasa goddard space flight center :13
niketomahawk sounding rocket was launched by :13
news agency statements in the soviet :13
newell nasa associate administrator for space :13
negotiations leading to award of a :13
nations public registry the satellite situation :13
national oceanic and atmospheric administration noaa :13
nasa launched two sounding rockets from :13
nasa associate administrator dr robert c :13
msfc director dr wernher von braun :13
minutes for the united states and :13
mex chairman of senate committee on :13
marshall space flight center msfc announced :13
marshall space flight center announced award :13
launched two unidentified satellites from vandenberg :13
into proper transfer orbit provide tracking :13
institutions national air and space museum :13
incli apogee perigee period nation remarks :13
in the soviet press and international :13
gordon cooper and charles conrad jr :13
for space science and applications dr :13
flight center announced the award of :13
eugene a cernan ronald e evans :13
e newell nasa associate administrator for :13
dr edward g gibson and william :13
deputy administrator dr robert c seamans :13
data are from the un public :13
control center at goddard space flight :13
committee on peaceful uses of outer :13
c welsh executive secretary of the :13
c chronology of manned space flight :13
before senate committee on aeronautical and :13
associate administrator for tracking and data :13
associate administrator for organization and management :13
appendix c chronology of manned space :13
apogee motor into proper transfer orbit :13
agency statements in the soviet press :13
aerobee 150 sounding rocket launched by :13
administrator for tracking and data acquisition :13
abbreviations of references listed here are :13
a cernan ronald e evans and :13
• the house committee on science :12
• sen clinton p anderson dn :12
• president nixon transmitted to congress :12
• nasa nikeapache sounding rocket launched :12
• nasa announced it had awarded :12
was successfully launched from etr by :12
was successfully launched by nasa from :12
was launched by nasa from churchill :12
vehicle payload data apogee st mi :12
united nations educational scientific and cultural :12
to land a man on the :12
the tracking and data relay satellite :12
the results can not be neatly :12
the international telecommunications satellite organization intelsat :12
the first of a series of :12
the european space agency esa announced :12
the dept of housing and urban :12
the air force systems command newsreview :12
the air force eugene m zuckert :12
the air force dr robert c :12
space flight center announced award of :12
soviet press and international news services :12
sources included the united nations public :12
smithsonian institutions national air and space :12
science and astronautics subcommittee on nasa :12
saturn ib and saturn v launch :12
satellite can be injected into synchronous :12
satellite and apogee motor into proper :12
s partially successful p and unsuccessful :12
russian data are from the un :12
rocco a petrone apollo program director :12
results can not be neatly categorized :12
releases of the department of defense :12
registry the satellite situation report translations :12
public information releases of the department :12
press and international news services reports :12
president of the soviet academy of :12
place satellite and apogee motor into :12
piloted by nasa test pilot john :12
partially successful p and unsuccessful u :12
p carr dr edward g gibson :12
operation of longrange telephone and telegraph :12
on each item see appendix a :12
of univ of california at berkeley :12
of the results can not be :12
of the department of defense nasa :12
of the air force eugene m :12
of the air force dr robert :12
objective place satellite and apogee motor :12
objective continuation of scientific satellite series :12
not give the payload a chance :12
not available objective continuation of cosmos :12
nikeapache sounding rocket was launched by :12
nations educational scientific and cultural organization :12
nasas office of space science and :12
nasas office of manned space flight :12
nasa and the soviet academy of :12
nasa administrator dr james c fletcher :12
many of the results can not :12
managed by goddard space flight center :12
launched aerobee 150 sounding rocket from :12
l gordon cooper and charles conrad :12
intl designation vehicle launch site payload :12
information releases of the department of :12
information on each item see appendix :12
included the united nations public registry :12
had been turned on and were :12
give the payload a chance to :12
g gibson and william r pogue :12
further information on each item see :12
fourth category unknown unk has been :12
for further information on each item :12
each item see appendix a of :12
dr william h pickering jpl director :12
dr wernher von braun nasa deputy :12
director of nasa manned spacecraft center :12
did not give the payload a :12
carr dr edward g gibson and :12
can be injected into synchronous orbit :12
by nasa from wallops station carried :12
available objective continuation of cosmos scientific :12
attempt has been made to classify :12
at the national space technology laboratories :12
at edwards air force base calif :12
astronauts neil a armstrong edwin e :12
astronauts l gordon cooper and charles :12
astronauts james a lovell jr and :12
astronauts eugene a cernan ronald e :12
astronautics subcommittee on space science and :12
apollo lunar surface experiments package alsep :12
and the soviet academy of sciences :12
and the peoples republic of china :12
and astronautics subcommittee on space science :12
and astronautics subcommittee on nasa oversight :12
and applications dr homer e newell :12
and apogee motor into proper transfer :12
an unidentified satellite from vandenberg afb :12
an attempt has been made to :12
air force systems command newsreview reported :12
aerobee 170 sounding rocket was launched :12
aerobee 150 sounding rocket was launched :12
administrator for manned space flight dale :12
a fourth category unknown unk has :12
170 sounding rocket was launched by :12
11 astronauts neil a armstrong edwin :12
• secretary of transportation john a :11
• dr robert c seamans jr :11
• dr hugh l dryden nasa :11
white sands missile range carrying a :11
wernher von braun nasa deputy associate :11
weight not available objective continuation of :11
was compiled from open sources by :11
von braun nasa deputy associate administrator :11
volume and the entries in the :11
vice president and general manager of :11
vehicle performance and mission results—successful s :11
vehicle malfunctions did not give the :11
ussr from plesetsk into orbit with :11
transmitter command system orientation system orbit :11
transfer orbit so satellite can be :11
total weight not available objective continuation :11
total results in terms of primary :11
three categories have been used for :11
this volume and the entries in :11
the white house office of science :11
the satellite situation report translations from :11
the peoples republic of china had :11
the payload a chance to exercise :11
the main chronology as referenced in :11
the launch vehicle and the payload :11
the following tabulation was compiled from :11
the entries in the main chronology :11
the annual meeting of the american :11
that have a orbited b as :11
that are one day earlier in :11
testified before house committee on science :11
tabulation was compiled from open sources :11
spacecraft launch country apogee perigee date :11
space science and applications dr homer :11
space flight center announced selection of :11
sounding rocket launched from white sands :11
so satellite can be injected into :11
senate aeronautical and space sciences committee :11
see national advisory committee for aeronautics :11
see appendix a of this volume :11
secretary of the air force for :11
science and applications dr homer e :11
satellite with transmitter command system orientation :11
satellite tracking and data acquisition network :11
satellite from plesetsk into orbit with :11
results—successful s partially successful p and :11
results in terms of primary mission :11
probes ascended to at least the :11
piloted by maj jerauld r gentry :11
performance of both the launch vehicle :11
performance and mission results—successful s partially :11
payloads that have a orbited b :11
payload satellite with transmitter command system :11
payload a chance to exercise its :11
orbited b as probes ascended to :11
orbit so satellite can be injected :11
or c conveyed one or more :11
one day earlier in this tabulation :11
on the moon in this decade :11
of transportation john a volpe announced :11
of this volume and the entries :11
of the space shuttle main engine :11
of the international telecommunications satellite organization :11
of the american institute of aeronautics :11
of the air force systems command :11
of both the launch vehicle and :11
no 3 flown by nasa pilot :11
neil a armstrong and edwin e :11
national advisory committee for aeronautics naca :11
nasa launched aerobee 150 sounding rocket :11
nasa goddard space flight center and :11
nasa deputy associate administrator for planning :11
nasa deputy associate administrator for manned :11
nasa deputy administrator dr robert c :11
mission results—successful s partially successful p :11
manned space flight dale d myers :11
malfunctions did not give the payload :11
main chronology as referenced in the :11
launched from white sands missile range :11
launched an unidentified satellite from vandenberg :11
launch vehicle and the payload and :11
james c fletcher nasa administrator and :11
item see appendix a of this :11
investigations description unavailable total weight unavailable :11
in the main chronology as referenced :11
have a orbited b as probes :11
goddard space flight center payload to :11
gemini v astronauts l gordon cooper :11
frank borman james a lovell jr :11
former astronaut john h glenn jr :11
force dr robert c seamans jr :11
for manned space flight dale d :11
following tabulation was compiled from open :11
experiments had been turned on and :11
entries in the main chronology as :11
dr wernher von braun director of :11
dr robert r gilruth msc director :11
dr glenn t seaborg aec chairman :11
dr charles a berry director of :11
david r scott alfred m worden :11
dates that are one day earlier :11
continuation of cosmos scientific satellite scries :11
command system orientation system orbit correction :11
chronology as referenced in the index :11
charles conrad jr richard f gordon :11
chance to exercise its main experiments :11
cernan ronald e evans and dr :11
c fletcher nasa administrator said in :11
both the launch vehicle and the :11
before the senate committee on aeronautical :11
baykonur cosmodrome into orbit with a :11
b as probes ascended to at :11
as probes ascended to at least :11
armstrong and edwin e aldrin jr :11
are one day earlier in this :11
applications technology satellite launched 30 may :11
appendix a of this volume and :11
apollo 17 astronauts eugene a cernan :11
and the entries in the main :11
and mission results—successful s partially successful :11
and data relay satellite system tdrss :11
american assn for the advancement of :11
air force space and missile systems :11
air force dr robert c seamans :11
a orbited b as probes ascended :11
a of this volume and the :11
a chance to exercise its main :11
a armstrong and edwin e aldrin :11
150 sounding rocket launched by nasa :11
• washington post editorial commented on :10
• usaf launched an unidentified satellite :10
• the peoples republic of china :10
• nasa manned spacecraft center announced :10
• aerobee 170 sounding rocket was :10
x15 no 3 was flown by :10
with transmitter command system orientation system :10
which are referenced to greenwich mean :10
was said to be functioning normally :10
was responsible for apollo spacecraft development :10
was referred to senate committee on :10
was launched by the ussr from :10
was directed by nasa office of :10
was announced by secretary of transportation :10
w anderson jr deputy nasa historian :10
venture into space early years of :10
vehicle piloted by maj jerauld r :10
vehicle and the payload and to :10
v keldysh president of soviet academy :10
usaf launched an unidentified satellite from :10
undocked initiated descent and touched down :10
two unidentified satellites from vandenberg afb :10
traditionally has distinguished probes from sounding :10
to summarize total results in terms :10
to merit nasa distribution in english :10
to fly on the space shuttle :10
through transfer orbit so satellite can :10
this tabulation than in listings which :10
they ignore the fact that a :10
the un committee on the peaceful :10
the payload and to summarize total :10
the new york times said that :10
the national oceanic and atmospheric administrations :10
the fact that a great deal :10
the american association for the advancement :10
the administration shall provide for the :10
that traditionally has distinguished probes from :10
temperature pressure density and wind data :10
telemetry and backup calculations through transfer :10
technical reports scientific and technical information :10
technical notes information less broad in :10
technical information considered important complete and :10
summarize total results in terms of :10
subcommittee on aeronautics and space technology :10
subcommittee of the house committee on :10
special publications information derived from or :10
space flight center public information releases :10
space early years of goddard space :10
sounding rockets etc or c conveyed :10
solar heating and cooling demonstration act :10
site payload data apogee perigee km :10
see nasa office of space science :10
scope but nevertheless of importance as :10
scientific and technical information considered important :10
rockets etc or c conveyed one :10
reports scientific and technical information considered :10
rep olin e teague dtex chairman :10
r scott alfred m worden and :10
purpose of the flight was to :10
published in a foreign language considered :10
publications information derived from or of :10
program was directed by nasa office :10
probes from sounding rockets etc or :10
president nixon submitted to senate nomination :10
preliminary data security classification or other :10
practicable and appropriate dissemination of information :10
perigee period nation remarks st mi :10
perigee period inclination remarks km km :10
payload data apogee perigee km km :10
payload and to summarize total results :10
or of value to nasa activities :10
on the floor of the senate :10
of the science and technology division :10
of the national advisory committee for :10
of preliminary data security classification or :10
of outer space for peaceful purposes :10
of information concerning its activities and :10
of importance as a contribution to :10
notes information less broad in scope :10
nixon submitted to senate nomination of :10
niketomahawk sounding rocket launched by nasa :10
nevertheless of importance as a contribution :10
nerva nuclear engine for rocket vehicle :10
national aeronautics and space council said :10
nasas m2f3 lifting body piloted by :10
nasa niketomahawk sounding rocket launched from :10
nasa assistant administrator for public affairs :10
meeting of the american geophysical union :10
may have been classified as unsuccessful :10
marshall space flight center huntsville ala :10
listings which are referenced to greenwich :10
less broad in scope but nevertheless :10
leonard c bruno of the science :10
launched from ksc launch complex 39 :10
language considered to merit nasa distribution :10
jr richard f gordon jr and :10
jpl director dr william h pickering :10
john f kennedy space center nasa :10
james c fletcher nasa administrator presented :10
james a lovell jr and william :10
its activities and the results thereof :10
is intended to provide an accurate :10
into space early years of goddard :10
institute of electrical and electronics engineers :10
information published in a foreign language :10
information less broad in scope but :10
information derived from or of value :10
information considered important complete and a :10
information concerning its activities and the :10
in this tabulation than in listings :10
in scope but nevertheless of importance :10
in listings which are referenced to :10
in a foreign language considered to :10
important complete and a lasting contribution :10
importance as a contribution to existing :10
ignore the fact that a great :10
ib and saturn v launch vehicles :10
history of the apollosoyuz test project :10
has distinguished probes from sounding rockets :10
from sounding rockets etc or c :10
from or of value to nasa :10
from ksc launch complex 39 pad :10
french national center for space studies :10
frank w anderson jr deputy nasa :10
foreign language considered to merit nasa :10
force space and missile systems organization :10
for nasas office of space science :10
flight center public information releases of :10
etc or c conveyed one or :10
early years of goddard space flight :10
earlier in this tabulation than in :10
dr robert c seamans jr nasa :10
dr frank w anderson jr deputy :10
distinguished probes from sounding rockets etc :10
dissemination of information concerning its activities :10
directed by nasa office of manned :10
derived from or of value to :10
dept of housing and urban developmentspacescienceveterans :10
day earlier in this tabulation than :10
data security classification or other reasons :10
considered to merit nasa distribution in :10
considered important complete and a lasting :10
conrad jr richard f gordon jr :10
concerning its activities and the results :10
complete and a lasting contribution to :10
center public information releases of the :10
calculations through transfer orbit so satellite :10
c bruno of the science and :10
by secretary of transportation john a :10
by nasa office of manned space :10
by nasa marshall space flight center :10
by goddard space flight center under :10
but nevertheless of importance as a :10
bruno of the science and technology :10
broad in scope but nevertheless of :10
braun nasa deputy associate administrator for :10
been turned on and were operating :10
because of preliminary data security classification :10
backup calculations through transfer orbit so :10
b chronology of major nasa launches :10
ats 6 applications technology satellite launched :10
astronauts neil a armstrong and edwin :10
astronauts charles conrad jr richard f :10
as a contribution to existing knowledge :10
are referenced to greenwich mean time :10
appropriate dissemination of information concerning its :10
apollo program was directed by nasa :10
apogee perigee period inclination remarks km :10
announced by secretary of transportation john :10
andrian g nikolayev and vitaly i :10
and to summarize total results in :10
and the payload and to summarize :10
and technical information considered important complete :10
and space act of 1958 nasa :10
and backup calculations through transfer orbit :10
and appropriate dissemination of information concerning :10
and a lasting contribution to existing :10
an asterisk by the date marks :10
altitude that traditionally has distinguished probes :10
also they ignore the fact that :10
aec chairman dr glenn t seaborg :10
a nasa contract or grant and :10
a lovell jr and william a :10
a lasting contribution to existing knowledge :10
a history of the apollosoyuz test :10
a foreign language considered to merit :10
6 applications technology satellite launched 30 :10
4000mile altitude that traditionally has distinguished :10
• usaf launched unidentified satellite with :9
• the air force systems command :9
• nikeapache sounding rocket was launched :9
• nasa announced appointment of dr :9
• dr george e mueller nasa :9
• aerobee 150 sounding rocket was :9
years the remarks column of these :9
years of goddard space flight center :9
widest practicable and appropriate dissemination of :9
were obtained nasa rpt srl • :9
weight in earth orbit including sivb :9
we have cautioned in previous years :9
was to obtain stability and control :9
was managed by goddard space flight :9
was launched by ussr from baykonur :9
was held at manned spacecraft center :9
von braun director of nasa marshall :9
utilization publications information on technology used :9
used in the chronology entries themselves :9
used by nasa that may be :9
us arms control and disarmament agency :9
unidentified satellites from vandenberg afb by :9
un committee on peaceful uses of :9
translations information published in a foreign :9
translations from the tass news agency :9
to provide an accurate and ready :9
to obtain ozone measurements in conjunction :9
to measure wind velocities and directions :9
these appendixes is never complete because :9
themselves are crossreferenced in the index :9
the widest practicable and appropriate dissemination :9
the space shuttle atlantis on mission :9
the saturn ib and saturn v :9
the satellite situation report issued by :9
the remarks column of these appendixes :9
the references cited are not abbreviated :9
the partnership a history of the :9
the orbital workshop launched may 14 :9
the office of manned space flight :9
the global atmospheric research program garp :9
the chronology for some of the :9
the chronology entries themselves are crossreferenced :9
the air force systems command afsc :9
that may have been classified as :9
than in listings which are referenced :9
test pilot william h dana reached :9
test pilot john a manke successfully :9
technology utilization publications information on technology :9
technology used by nasa that may :9
technology satellite launched 23 july 1972 :9
technical translations information published in a :9
technical publications technical reports scientific and :9
tech briefs technology utilization reports and :9
system orientation system orbit correction device :9
system orbit correction device power supply :9
spaceflight tracking and data network stdn :9
space tracking and data acquisition network :9
space for the benefit of all :9
space act of 1958 nasa scientific :9
sources provided in the chronology for :9
sounding rockets from nasa wallops station :9
sounding rockets from churchill research range :9
sounding rocket launched from churchill research :9
some of the references cited are :9
shall provide for the widest practicable :9
see north american air defense command :9
see national aeronautics and space council :9
see american society of mechanical engineers :9
scott alfred m worden and james :9
scientific and technical publications technical reports :9
satellite situation report issued by the :9
ronald e evans and dr harrison :9
rocket and instruments performed satisfactorily nasa :9
richard f gordon jr and alan :9
resources technology satellite launched july 23 :9
resources technology satellite launched 23 july :9
remarks column of these appendixes is :9
registry the satellite situation report issued :9
reentry capsule with retrorockets and recovery :9
publications technical reports scientific and technical :9
publications information on technology used by :9
publications include tech briefs technology utilization :9
provided in the chronology for some :9
provide for the widest practicable and :9
provide an accurate and ready historical :9
probable military photo reconnaissance satellite reentered :9
previous years the remarks column of :9
period inclination remarks km km min :9
partnership a history of the apollosoyuz :9
particular interest in commercial and other :9
orientation system orbit correction device power :9
on technology used by nasa that :9
on aeronautical and space sciences said :9
olin e teague dtex chairman of :9
of these appendixes is never complete :9
of the senate committee on aeronautical :9
of the references cited are not :9
of the international academy of astronautics :9
of the european space agency esa :9
of longrange telephone and telegraph radio :9
of goddard space flight center nasa :9
of aeronautics and space technology oast :9
of 1958 nasa scientific and technical :9
obtain ozone measurements in conjunction with :9
not include all sources provided in :9
not available dod spacecraft united states :9
nikecajun sounding rocket launched by nasa :9
nikeapache sounding rocket launched from nasa :9
neil a armstrong michael collins and :9
nasas hl10 liftingbody vehicle piloted by :9
nasa scientific and technical publications technical :9
nasa office of tracking and data :9
nasa launched niketomahawk sounding rocket from :9
nasa from churchill re search range :9
nasa announced it would negotiate with :9
nasa administrator james e webb announced :9
name country international designation vehicle payload :9
mstislav v keldysh president of soviet :9
michael collins and edwin e aldrin :9
marshall space flight center announced that :9
manned flights all in earth orbit :9
m worden and james b irwin :9
lt col john h glenn jr :9
lovell jr and william a anders :9
